frame,parameter,value
130,$4000_duty,0
130,$4000_const,1
130,$4000_vol,8
130,$4001_sweep,127
130,$4002_period,507
130,$400B_length,0
130,$4004_duty,1
130,$4004_const,1
130,$4004_vol,15
130,$4005_sweep,127
130,$4006_period,807
130,$4008_linear,127
130,$400A_period,337
130,$400B_length,0
130,$400C_const,1
130,$400C_vol,0
130,$400E_period,7
130,$400E_mode,0
131,$4000_duty,1
131,$4000_const,1
131,$4000_vol,15
131,$4001_sweep,127
131,$4004_duty,1
131,$4004_const,1
131,$4004_vol,15
131,$4005_sweep,127
131,$4008_linear,127
131,$400C_const,1
131,$400C_vol,0
131,$400E_period,7
131,$400E_mode,0
132,$4000_duty,1
132,$4000_const,1
132,$4000_vol,15
132,$4001_sweep,127
132,$4004_duty,1
132,$4004_const,1
132,$4004_vol,15
132,$4005_sweep,127
132,$4008_linear,127
132,$400C_const,1
132,$400C_vol,0
132,$400E_period,7
132,$400E_mode,0
133,$4000_duty,1
133,$4000_const,1
133,$4000_vol,15
133,$4001_sweep,127
133,$4004_duty,1
133,$4004_const,1
133,$4004_vol,12
133,$4005_sweep,127
133,$4008_linear,124
133,$400C_const,1
133,$400C_vol,0
133,$400E_period,7
133,$400E_mode,0
134,$4000_duty,1
134,$4000_const,1
134,$4000_vol,14
134,$4001_sweep,127
134,$4004_duty,1
134,$4004_const,1
134,$4004_vol,11
134,$4005_sweep,127
134,$4008_linear,123
134,$400C_const,1
134,$400C_vol,0
134,$400E_period,7
134,$400E_mode,0
135,$4000_duty,1
135,$4000_const,1
135,$4000_vol,13
135,$4001_sweep,127
135,$4004_duty,1
135,$4004_const,1
135,$4004_vol,10
135,$4005_sweep,127
135,$4008_linear,122
135,$400C_const,1
135,$400C_vol,0
135,$400E_period,7
135,$400E_mode,0
136,$4000_duty,1
136,$4000_const,1
136,$4000_vol,12
136,$4001_sweep,127
136,$4004_duty,1
136,$4004_const,1
136,$4004_vol,9
136,$4005_sweep,127
136,$4008_linear,121
136,$400C_const,1
136,$400C_vol,0
136,$400E_period,7
136,$400E_mode,0
137,$4000_duty,1
137,$4000_const,1
137,$4000_vol,11
137,$4001_sweep,127
137,$4004_duty,1
137,$4004_const,1
137,$4004_vol,9
137,$4005_sweep,127
137,$4008_linear,121
137,$400C_const,1
137,$400C_vol,0
137,$400E_period,7
137,$400E_mode,0
138,$4000_duty,1
138,$4000_const,1
138,$4000_vol,10
138,$4001_sweep,127
138,$4004_duty,1
138,$4004_const,1
138,$4004_vol,8
138,$4005_sweep,127
138,$4008_linear,120
138,$400C_const,1
138,$400C_vol,0
138,$400E_period,7
138,$400E_mode,0
139,$4000_duty,1
139,$4000_const,1
139,$4000_vol,9
139,$4001_sweep,127
139,$4004_duty,1
139,$4004_const,1
139,$4004_vol,8
139,$4005_sweep,127
139,$4008_linear,120
139,$400C_const,1
139,$400C_vol,0
139,$400E_period,7
139,$400E_mode,0
140,$4000_duty,1
140,$4000_const,1
140,$4000_vol,8
140,$4001_sweep,127
140,$4004_duty,1
140,$4004_const,1
140,$4004_vol,8
140,$4005_sweep,127
140,$4008_linear,120
140,$400C_const,1
140,$400C_vol,0
140,$400E_period,7
140,$400E_mode,0
141,$4000_duty,1
141,$4000_const,1
141,$4000_vol,7
141,$4001_sweep,127
141,$4004_duty,1
141,$4004_const,1
141,$4004_vol,7
141,$4005_sweep,127
141,$4008_linear,119
141,$400C_const,1
141,$400C_vol,0
141,$400E_period,7
141,$400E_mode,0
142,$4000_duty,1
142,$4000_const,1
142,$4000_vol,6
142,$4001_sweep,127
142,$4004_duty,1
142,$4004_const,1
142,$4004_vol,7
142,$4005_sweep,127
142,$4008_linear,119
142,$400C_const,1
142,$400C_vol,0
142,$400E_period,7
142,$400E_mode,0
143,$4000_duty,1
143,$4000_const,1
143,$4000_vol,6
143,$4001_sweep,127
143,$4004_duty,1
143,$4004_const,1
143,$4004_vol,7
143,$4005_sweep,127
143,$4008_linear,119
143,$400C_const,1
143,$400C_vol,0
143,$400E_period,7
143,$400E_mode,0
144,$4000_duty,1
144,$4000_const,1
144,$4000_vol,5
144,$4001_sweep,127
144,$4004_duty,1
144,$4004_const,1
144,$4004_vol,7
144,$4005_sweep,127
144,$4008_linear,119
144,$400C_const,1
144,$400C_vol,0
144,$400E_period,7
144,$400E_mode,0
145,$4000_duty,1
145,$4000_const,1
145,$4000_vol,5
145,$4001_sweep,127
145,$4004_duty,1
145,$4004_const,1
145,$4004_vol,7
145,$4005_sweep,127
145,$4008_linear,119
145,$400C_const,1
145,$400C_vol,0
145,$400E_period,7
145,$400E_mode,0
146,$4000_duty,1
146,$4000_const,1
146,$4000_vol,5
146,$4001_sweep,127
146,$4004_duty,1
146,$4004_const,1
146,$4004_vol,6
146,$4005_sweep,127
146,$4008_linear,118
146,$400C_const,1
146,$400C_vol,0
146,$400E_period,7
146,$400E_mode,0
147,$4000_duty,1
147,$4000_const,1
147,$4000_vol,6
147,$4001_sweep,127
147,$4004_duty,1
147,$4004_const,1
147,$4004_vol,6
147,$4005_sweep,127
147,$4008_linear,118
147,$400C_const,1
147,$400C_vol,0
147,$400E_period,7
147,$400E_mode,0
148,$4000_duty,1
148,$4000_const,1
148,$4000_vol,6
148,$4001_sweep,127
148,$4004_duty,1
148,$4004_const,1
148,$4004_vol,6
148,$4005_sweep,127
148,$4008_linear,118
148,$400C_const,1
148,$400C_vol,0
148,$400E_period,7
148,$400E_mode,0
149,$4000_duty,1
149,$4000_const,1
149,$4000_vol,7
149,$4001_sweep,127
149,$4004_duty,1
149,$4004_const,1
149,$4004_vol,6
149,$4005_sweep,127
149,$4008_linear,118
149,$400C_const,1
149,$400C_vol,0
149,$400E_period,7
149,$400E_mode,0
150,$4000_duty,1
150,$4000_const,1
150,$4000_vol,7
150,$4001_sweep,127
150,$4004_duty,1
150,$4004_const,1
150,$4004_vol,6
150,$4005_sweep,127
150,$4008_linear,118
150,$400C_const,1
150,$400C_vol,0
150,$400E_period,7
150,$400E_mode,0
151,$4000_duty,1
151,$4000_const,1
151,$4000_vol,8
151,$4001_sweep,127
151,$4004_duty,1
151,$4004_const,1
151,$4004_vol,5
151,$4005_sweep,127
151,$4008_linear,117
151,$400C_const,1
151,$400C_vol,0
151,$400E_period,7
151,$400E_mode,0
152,$4000_duty,1
152,$4000_const,1
152,$4000_vol,8
152,$4001_sweep,127
152,$4004_duty,1
152,$4004_const,1
152,$4004_vol,5
152,$4005_sweep,127
152,$4008_linear,117
152,$400C_const,1
152,$400C_vol,0
152,$400E_period,7
152,$400E_mode,0
153,$4000_duty,1
153,$4000_const,1
153,$4000_vol,9
153,$4001_sweep,127
153,$4004_duty,1
153,$4004_const,1
153,$4004_vol,5
153,$4005_sweep,127
153,$4008_linear,117
153,$400C_const,1
153,$400C_vol,0
153,$400E_period,7
153,$400E_mode,0
154,$4000_duty,1
154,$4000_const,1
154,$4000_vol,9
154,$4001_sweep,127
154,$4004_duty,1
154,$4004_const,1
154,$4004_vol,5
154,$4005_sweep,127
154,$4008_linear,117
154,$400C_const,1
154,$400C_vol,0
154,$400E_period,7
154,$400E_mode,0
155,$4000_duty,1
155,$4000_const,1
155,$4000_vol,10
155,$4001_sweep,127
155,$4004_duty,1
155,$4004_const,1
155,$4004_vol,5
155,$4005_sweep,127
155,$4008_linear,117
155,$400C_const,1
155,$400C_vol,0
155,$400E_period,7
155,$400E_mode,0
156,$4000_duty,1
156,$4000_const,1
156,$4000_vol,10
156,$4001_sweep,127
156,$4004_duty,1
156,$4004_const,1
156,$4004_vol,5
156,$4005_sweep,127
156,$4008_linear,117
156,$400C_const,1
156,$400C_vol,0
156,$400E_period,7
156,$400E_mode,0
157,$4000_duty,1
157,$4000_const,1
157,$4000_vol,11
157,$4001_sweep,127
157,$4004_duty,1
157,$4004_const,1
157,$4004_vol,4
157,$4005_sweep,127
157,$4008_linear,116
157,$400C_const,1
157,$400C_vol,0
157,$400E_period,7
157,$400E_mode,0
158,$4000_duty,1
158,$4000_const,1
158,$4000_vol,11
158,$4001_sweep,127
158,$4004_duty,1
158,$4004_const,1
158,$4004_vol,4
158,$4005_sweep,127
158,$4008_linear,116
158,$400C_const,1
158,$400C_vol,0
158,$400E_period,7
158,$400E_mode,0
159,$4000_duty,1
159,$4000_const,1
159,$4000_vol,3
159,$4001_sweep,127
159,$4004_duty,1
159,$4004_const,1
159,$4004_vol,3
159,$4005_sweep,127
159,$4008_linear,115
159,$400C_const,1
159,$400C_vol,0
159,$400E_period,7
159,$400E_mode,0
160,$4000_duty,1
160,$4000_const,1
160,$4000_vol,3
160,$4001_sweep,127
160,$4004_duty,1
160,$4004_const,1
160,$4004_vol,3
160,$4005_sweep,127
160,$4008_linear,115
160,$400C_const,1
160,$400C_vol,0
160,$400E_period,7
