frame,parameter,value
195,$4000_duty,0
195,$4000_const,1
195,$4000_vol,0
195,$4004_duty,0
195,$4004_const,1
195,$4004_vol,0
195,$400C_const,1
195,$400C_vol,0
195,$4008_linear,0
195,$4001_sweep,127
195,$4005_sweep,127
195,$4002_period,3585
195,$400B_length,255
195,$4006_period,3585
195,$400A_period,4095
195,$400B_length,255
329,$400C_const,1
329,$400C_vol,0
329,$400E_period,0
329,$400E_mode,0
330,$400C_const,1
330,$400C_vol,9
330,$400E_period,6
330,$400E_mode,0
331,$400C_const,1
331,$400C_vol,5
332,$400C_const,1
332,$400C_vol,1
332,$400E_period,5
332,$400E_mode,0
334,$400C_const,1
334,$400C_vol,9
334,$400E_period,9
334,$400E_mode,0
335,$400C_const,1
335,$400C_vol,2
335,$400E_period,8
335,$400E_mode,0
335,$400C_const,1
335,$400C_vol,0
335,$400E_period,0
335,$400E_mode,0
336,$400C_const,1
336,$400C_vol,9
336,$400E_period,6
336,$400E_mode,0
337,$400C_const,1
337,$400C_vol,5
338,$400C_const,1
338,$400C_vol,1
338,$400E_period,5
338,$400E_mode,0
340,$400C_const,1
340,$400C_vol,9
340,$400E_period,9
340,$400E_mode,0
341,$400C_const,1
341,$400C_vol,2
341,$400E_period,8
341,$400E_mode,0
342,$400C_const,1
342,$400C_vol,0
342,$400E_period,0
342,$400E_mode,0
347,$400C_const,1
347,$400C_vol,0
347,$400E_period,0
347,$400E_mode,0
348,$400C_const,1
348,$400C_vol,9
348,$400E_period,6
348,$400E_mode,0
349,$400C_const,1
349,$400C_vol,5
350,$400C_const,1
350,$400C_vol,1
350,$400E_period,5
350,$400E_mode,0
352,$400C_const,1
352,$400C_vol,9
352,$400E_period,9
352,$400E_mode,0
353,$400C_const,1
353,$400C_vol,2
353,$400E_period,8
353,$400E_mode,0
353,$400C_const,1
353,$400C_vol,0
353,$400E_period,0
353,$400E_mode,0
354,$400C_const,1
354,$400C_vol,9
354,$400E_period,6
354,$400E_mode,0
355,$400C_const,1
355,$400C_vol,5
356,$400C_const,1
356,$400C_vol,1
356,$400E_period,5
356,$400E_mode,0
358,$400C_const,1
358,$400C_vol,9
358,$400E_period,9
358,$400E_mode,0
359,$400C_const,1
359,$400C_vol,2
359,$400E_period,8
359,$400E_mode,0
359,$400C_const,1
359,$400C_vol,0
359,$400E_period,0
359,$400E_mode,0
360,$400C_const,1
360,$400C_vol,9
360,$400E_period,6
360,$400E_mode,0
361,$400C_const,1
361,$400C_vol,5
362,$400C_const,1
362,$400C_vol,1
362,$400E_period,5
362,$400E_mode,0
364,$400C_const,1
364,$400C_vol,9
364,$400E_period,9
364,$400E_mode,0
365,$400C_const,1
365,$400C_vol,2
365,$400E_period,8
365,$400E_mode,0
365,$400C_const,1
365,$400C_vol,0
365,$400E_period,0
365,$400E_mode,0
366,$400C_const,1
366,$400C_vol,9
366,$400E_period,6
366,$400E_mode,0
367,$400C_const,1
367,$400C_vol,5
368,$400C_const,1
368,$400C_vol,1
368,$400E_period,5
368,$400E_mode,0
370,$400C_const,1
370,$400C_vol,9
370,$400E_period,9
370,$400E_mode,0
371,$400C_const,1
371,$400C_vol,2
371,$400E_period,8
371,$400E_mode,0
371,$400C_const,1
371,$400C_vol,0
371,$400E_period,0
371,$400E_mode,0
372,$400C_const,1
372,$400C_vol,9
372,$400E_period,6
372,$400E_mode,0
373,$400C_const,1
373,$400C_vol,5
374,$400C_const,1
374,$400C_vol,1
374,$400E_period,5
