frame,parameter,value
121,$4000_duty,0
121,$4000_const,1
121,$4000_vol,0
121,$4004_duty,0
121,$4004_const,1
121,$4004_vol,0
121,$4008_linear,16
121,$400C_const,1
121,$400C_vol,0
139,$400C_const,1
139,$400C_vol,0
139,$4008_linear,33
139,$400A_period,513
139,$400B_length,9
139,$4004_duty,0
139,$4004_const,1
139,$4004_vol,0
139,$4000_duty,0
139,$4000_const,1
139,$4000_vol,0
142,$400A_period,907
142,$400B_length,9
145,$400A_period,1529
145,$400B_length,10
148,$400C_const,1
148,$400C_vol,5
148,$400E_period,1
148,$400E_mode,0
148,$400A_period,1077
148,$400B_length,10
150,$400C_const,1
150,$400C_vol,0
162,$400C_const,1
162,$400C_vol,5
162,$400E_period,1
162,$400E_mode,0
162,$400A_period,1357
162,$400B_length,10
164,$400C_const,1
164,$400C_vol,0
176,$400C_const,1
176,$400C_vol,5
176,$400E_period,1
176,$400E_mode,0
176,$400A_period,1357
176,$400B_length,10
178,$400C_const,1
178,$400C_vol,0
190,$400C_const,1
190,$400C_vol,5
190,$400E_period,1
190,$400E_mode,0
190,$400A_period,1209
190,$400B_length,10
192,$400C_const,1
192,$400C_vol,0
204,$400C_const,1
204,$400C_vol,5
204,$400E_period,1
204,$400E_mode,0
204,$400A_period,1357
204,$400B_length,10
206,$400C_const,1
206,$400C_vol,0
211,$400C_const,1
211,$400C_vol,5
211,$400E_period,1
211,$400E_mode,0
211,$400A_period,1209
211,$400B_length,10
213,$400C_const,1
213,$400C_vol,0
218,$400C_const,1
218,$400C_vol,5
218,$400E_period,1
218,$400E_mode,0
218,$400A_period,1077
218,$400B_length,10
220,$400C_const,1
220,$400C_vol,0
232,$400C_const,1
232,$400C_vol,5
232,$400E_period,1
232,$400E_mode,0
232,$400A_period,845
232,$400B_length,9
234,$400C_const,1
234,$400C_vol,0
246,$400C_const,1
246,$400C_vol,5
246,$400E_period,1
246,$400E_mode,0
246,$400A_period,1529
246,$400B_length,10
248,$400C_const,1
248,$400C_vol,0
260,$400C_const,1
260,$400C_vol,5
260,$400E_period,1
260,$400E_mode,0
260,$400A_period,1077
260,$400B_length,10
260,$4004_duty,0
260,$4004_const,1
260,$4004_vol,0
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,0
262,$400C_const,1
262,$400C_vol,0
274,$400C_const,1
274,$400C_vol,5
274,$400E_period,1
274,$400E_mode,0
274,$400A_period,1357
274,$400B_length,10
276,$400C_const,1
276,$400C_vol,0
288,$400C_const,1
288,$400C_vol,5
288,$400E_period,1
288,$400E_mode,0
288,$400A_period,1357
288,$400B_length,10
290,$400C_const,1
290,$400C_vol,0
302,$400C_const,1
302,$400C_vol,5
302,$400E_period,1
302,$400E_mode,0
302,$400A_period,1209
302,$400B_length,10
304,$400C_const,1
304,$400C_vol,0
316,$400C_const,1
316,$400C_vol,5
316,$400E_period,1
316,$400E_mode,0
316,$400A_period,1357
316,$400B_length,10
318,$400C_const,1
318,$400C_vol,0
323,$400C_const,1
323,$400C_vol,5
323,$400E_period,1
323,$400E_mode,0
323,$400A_period,1209
323,$400B_length,10
325,$400C_const,1
325,$400C_vol,0
330,$400C_const,1
330,$400C_vol,5
330,$400E_period,1
330,$400E_mode,0
330,$400A_period,1077
330,$400B_length,10
332,$400C_const,1
332,$400C_vol,0
344,$400C_const,1
344,$400C_vol,5
344,$400E_period,1
344,$400E_mode,0
344,$400A_period,845
344,$400B_length,9
346,$400C_const,1
346,$400C_vol,0
358,$400C_const,1
358,$400C_vol,5
358,$400E_period,1
358,$400E_mode,0
358,$400A_period,1529
358,$400B_length,10
360,$400C_const,1
360,$400C_vol,0
372,$400C_const,1
372,$400C_vol,5
372,$400E_period,1
372,$400E_mode,0
372,$400A_period,1077
372,$400B_length,10
372,$4004_duty,0
372,$4004_const,1
372,$4004_vol,0
372,$4000_duty,0
372,$4000_const,1
372,$4000_vol,0
374,$400C_const,1
374,$400C_vol,0
386,$400C_const,1
386,$400C_vol,5
386,$400E_period,1
386,$400E_mode,0
386,$400A_period,1357
386,$400B_length,10
388,$400C_const,1
388,$400C_vol,0
400,$400C_const,1
400,$400C_vol,5
400,$400E_period,1
400,$400E_mode,0
400,$400A_period,1357
400,$400B_length,10
402,$400C_const,1
402,$400C_vol,0
414,$400C_const,1
414,$400C_vol,5
414,$400E_period,1
414,$400E_mode,0
414,$400A_period,1209
414,$400B_length,10
416,$400C_const,1
416,$400C_vol,0
428,$400C_const,1
