frame,parameter,value
445,$4004_duty,0
445,$4004_const,0
445,$4004_vol,7
445,$4005_sweep,8
445,$4006_period,319
445,$400A_period,957
445,$400B_length,1
445,$4008_linear,127
445,$400E_period,13
445,$400E_mode,0
461,$4006_period,239
461,$400A_period,957
461,$400B_length,1
461,$4008_linear,127
461,$400E_period,13
461,$400E_mode,0
465,$4006_period,213
469,$4006_period,189
469,$400A_period,1279
469,$400B_length,2
469,$4008_linear,127
469,$400E_period,13
469,$400E_mode,0
473,$4006_period,179
477,$4006_period,159
477,$400A_period,957
477,$400B_length,1
477,$4008_linear,127
477,$400E_period,8
477,$400E_mode,0
485,$4006_period,3
485,$4008_linear,0
495,$4006_period,379
495,$400A_period,957
495,$400B_length,1
495,$4008_linear,127
495,$400E_period,13
495,$400E_mode,0
503,$4006_period,379
503,$400A_period,957
503,$400B_length,1
503,$4008_linear,127
503,$400E_period,13
503,$400E_mode,0
511,$4006_period,379
511,$400A_period,957
511,$400B_length,1
511,$4008_linear,127
511,$400E_period,13
511,$400E_mode,0
519,$4006_period,3
519,$4008_linear,0
527,$4006_period,359
527,$400A_period,957
527,$400B_length,1
527,$4008_linear,127
527,$400E_period,13
527,$400E_mode,0
535,$4006_period,319
535,$400A_period,957
535,$400B_length,1
535,$4008_linear,127
535,$400E_period,13
535,$400E_mode,0
543,$4006_period,285
543,$400A_period,957
543,$400B_length,1
543,$4008_linear,127
543,$400E_period,13
543,$400E_mode,0
