frame,parameter,value
237,$4001_sweep,0
237,$4002_period,1537
237,$400B_length,27
237,$4000_duty,0
237,$4000_const,1
237,$4000_vol,0
238,$4005_sweep,0
238,$4004_duty,2
238,$4004_const,1
238,$4004_vol,0
238,$4001_sweep,0
238,$4000_duty,2
238,$4000_const,1
238,$4000_vol,3
239,$4005_sweep,0
239,$4004_duty,2
239,$4004_const,1
239,$4004_vol,0
239,$4001_sweep,0
239,$4000_duty,2
239,$4000_const,1
239,$4000_vol,6
240,$4005_sweep,0
240,$4004_duty,2
240,$4004_const,1
240,$4004_vol,0
240,$4001_sweep,0
240,$4000_duty,2
240,$4000_const,1
240,$4000_vol,9
241,$4005_sweep,0
241,$4004_duty,2
241,$4004_const,1
241,$4004_vol,0
241,$4001_sweep,0
241,$4000_duty,2
241,$4000_const,1
241,$4000_vol,12
242,$4005_sweep,0
242,$4004_duty,2
242,$4004_const,1
242,$4004_vol,0
242,$4001_sweep,0
242,$4000_duty,2
242,$4000_const,1
242,$4000_vol,15
243,$4005_sweep,0
243,$4004_duty,2
243,$4004_const,1
243,$4004_vol,0
244,$4005_sweep,0
244,$4004_duty,2
244,$4004_const,1
244,$4004_vol,0
244,$4001_sweep,0
244,$4000_duty,2
244,$4000_const,1
244,$4000_vol,12
245,$4005_sweep,0
245,$4004_duty,2
245,$4004_const,1
245,$4004_vol,0
245,$4001_sweep,0
245,$4000_duty,2
245,$4000_const,1
245,$4000_vol,9
246,$4005_sweep,0
246,$4004_duty,2
246,$4004_const,1
246,$4004_vol,0
246,$4001_sweep,0
246,$4000_duty,2
246,$4000_const,1
246,$4000_vol,6
247,$4005_sweep,0
247,$4004_duty,2
247,$4004_const,1
247,$4004_vol,0
247,$4001_sweep,0
247,$4000_duty,2
247,$4000_const,1
247,$4000_vol,3
248,$4005_sweep,0
248,$4004_duty,2
248,$4004_const,1
248,$4004_vol,0
248,$4001_sweep,0
248,$4000_duty,2
248,$4000_const,1
248,$4000_vol,0
249,$4005_sweep,0
249,$4004_duty,2
249,$4004_const,1
249,$4004_vol,0
249,$4001_sweep,0
249,$4002_period,1537
249,$400B_length,27
249,$4000_duty,0
249,$4000_const,1
