frame,parameter,value
436,$4008_linear,0
436,$4000_duty,0
436,$4000_const,1
436,$4000_vol,0
436,$4004_duty,0
436,$4004_const,1
436,$4004_vol,0
436,$400C_const,1
436,$400C_vol,0
437,$4008_linear,127
437,$400A_period,961
437,$400B_length,9
437,$400C_const,1
437,$400C_vol,0
437,$400E_period,1
437,$400E_mode,0
437,$400C_const,1
437,$400C_vol,7
437,$4008_linear,127
437,$400A_period,961
437,$400B_length,9
438,$400C_const,1
438,$400C_vol,0
438,$4008_linear,127
438,$400A_period,961
438,$400B_length,9
439,$400C_const,1
439,$400C_vol,0
439,$4008_linear,127
439,$400A_period,961
439,$400B_length,9
440,$400C_const,1
440,$400C_vol,0
440,$4008_linear,127
440,$400A_period,961
440,$400B_length,9
441,$400C_const,1
441,$400C_vol,0
441,$4008_linear,127
441,$400A_period,961
441,$400B_length,9
442,$400C_const,1
442,$400C_vol,0
442,$4008_linear,127
442,$400A_period,961
442,$400B_length,9
443,$400C_const,1
443,$400C_vol,0
443,$4008_linear,127
443,$400A_period,961
443,$400B_length,9
444,$400C_const,1
444,$400C_vol,0
444,$4008_linear,127
444,$400A_period,961
444,$400B_length,9
445,$400C_const,1
445,$400C_vol,0
445,$4008_linear,127
445,$400A_period,961
445,$400B_length,9
446,$400C_const,1
446,$400C_vol,0
446,$400E_period,1
446,$400E_mode,0
446,$400C_const,1
446,$400C_vol,7
446,$4008_linear,127
446,$400A_period,961
446,$400B_length,9
447,$400C_const,1
447,$400C_vol,0
447,$4008_linear,127
447,$400A_period,961
447,$400B_length,9
448,$400C_const,1
448,$400C_vol,0
448,$4008_linear,127
448,$400A_period,961
448,$400B_length,9
449,$400C_const,1
449,$400C_vol,0
449,$4008_linear,127
449,$400A_period,961
449,$400B_length,9
450,$400C_const,1
450,$400C_vol,0
450,$4008_linear,127
450,$400A_period,961
450,$400B_length,9
451,$400C_const,1
451,$400C_vol,0
451,$4008_linear,127
451,$400A_period,961
451,$400B_length,9
452,$400C_const,1
452,$400C_vol,0
452,$4008_linear,127
452,$400A_period,961
452,$400B_length,9
453,$400C_const,1
453,$400C_vol,0
453,$4008_linear,0
455,$400C_const,1
455,$400C_vol,0
455,$400E_period,1
455,$400E_mode,0
455,$4000_duty,0
455,$4000_const,1
455,$4000_vol,0
455,$4001_sweep,0
455,$4002_period,1283
455,$400B_length,2
455,$400C_const,1
455,$400C_vol,7
455,$4000_duty,0
455,$4000_const,1
455,$4000_vol,8
456,$400C_const,1
456,$400C_vol,0
456,$4000_duty,0
456,$4000_const,1
456,$4000_vol,7
457,$400C_const,1
457,$400C_vol,0
457,$4000_duty,0
457,$4000_const,1
457,$4000_vol,7
458,$400C_const,1
458,$400C_vol,0
458,$4000_duty,0
458,$4000_const,1
458,$4000_vol,6
459,$400C_const,1
459,$400C_vol,0
459,$4000_duty,0
459,$4000_const,1
459,$4000_vol,6
460,$400C_const,1
460,$400C_vol,0
460,$4000_duty,0
460,$4000_const,1
460,$4000_vol,5
461,$400C_const,1
461,$400C_vol,0
461,$4000_duty,0
461,$4000_const,1
461,$4000_vol,5
462,$400C_const,1
462,$400C_vol,0
462,$4000_duty,0
462,$4000_const,1
462,$4000_vol,4
463,$400C_const,1
463,$400C_vol,0
463,$4000_duty,0
463,$4000_const,1
463,$4000_vol,4
464,$400C_const,1
464,$400C_vol,0
464,$400E_period,1
464,$400E_mode,0
464,$4004_duty,0
464,$4004_const,1
464,$4004_vol,0
464,$4005_sweep,0
464,$4006_period,761
464,$4000_duty,0
464,$4000_const,1
464,$4000_vol,0
464,$4001_sweep,0
464,$4002_period,961
464,$400B_length,1
464,$400C_const,1
464,$400C_vol,7
464,$4004_duty,0
464,$4004_const,1
464,$4004_vol,8
464,$4000_duty,0
464,$4000_const,1
464,$4000_vol,8
465,$400C_const,1
465,$400C_vol,0
465,$4004_duty,0
465,$4004_const,1
465,$4004_vol,7
465,$4000_duty,0
465,$4000_const,1
