frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,14
0,$4002_period,801
0,$400B_length,193
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,14
2,$4002_period,769
2,$400B_length,193
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,13
4,$4002_period,801
4,$400B_length,193
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,13
6,$4002_period,769
6,$400B_length,193
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,12
8,$4002_period,801
8,$400B_length,193
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,12
10,$4002_period,769
10,$400B_length,193
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,11
12,$4002_period,801
12,$400B_length,193
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,11
14,$4002_period,769
14,$400B_length,193
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,10
16,$4002_period,801
16,$400B_length,193
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,10
18,$4002_period,769
18,$400B_length,193
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,9
20,$4002_period,801
20,$400B_length,193
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,9
22,$4002_period,769
22,$400B_length,193
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,8
24,$4002_period,801
24,$400B_length,193
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,8
26,$4002_period,769
26,$400B_length,193
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,7
28,$4002_period,801
28,$400B_length,193
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,7
30,$4002_period,769
30,$400B_length,193
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,6
32,$4002_period,801
32,$400B_length,193
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,6
34,$4002_period,769
34,$400B_length,193
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,5
36,$4002_period,801
36,$400B_length,193
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,5
38,$4002_period,769
38,$400B_length,193
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,4
40,$4002_period,801
40,$400B_length,193
42,$4000_duty,1
42,$4000_const,1
42,$4000_vol,4
42,$4002_period,769
42,$400B_length,193
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,3
44,$4002_period,801
44,$400B_length,193
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,3
46,$4002_period,769
46,$400B_length,193
48,$4000_duty,0
48,$4000_const,1
48,$4000_vol,0
48,$4001_sweep,136
48,$4002_period,1
48,$400B_length,0
73,$4000_duty,0
73,$4000_const,1
73,$4000_vol,0
73,$4001_sweep,136
73,$4002_period,1
73,$400B_length,0
74,$4001_sweep,142
74,$4000_duty,0
74,$4000_const,1
74,$4000_vol,3
74,$4002_period,225
74,$400B_length,192
75,$4000_duty,0
75,$4000_const,1
75,$4000_vol,3
75,$4002_period,225
75,$400B_length,192
76,$4000_duty,0
76,$4000_const,1
76,$4000_vol,3
76,$4002_period,225
76,$400B_length,192
77,$4000_duty,0
77,$4000_const,1
77,$4000_vol,5
77,$4002_period,225
77,$400B_length,192
78,$4000_duty,0
78,$4000_const,1
78,$4000_vol,5
78,$4002_period,225
78,$400B_length,192
79,$4000_duty,0
79,$4000_const,1
79,$4000_vol,5
79,$4002_period,225
79,$400B_length,192
80,$4000_duty,0
80,$4000_const,1
80,$4000_vol,7
80,$4002_period,225
80,$400B_length,192
81,$4000_duty,0
81,$4000_const,1
81,$4000_vol,7
81,$4002_period,225
81,$400B_length,192
82,$4000_duty,0
82,$4000_const,1
82,$4000_vol,7
82,$4002_period,225
82,$400B_length,192
83,$4000_duty,0
83,$4000_const,1
83,$4000_vol,9
83,$4002_period,225
83,$400B_length,192
84,$4000_duty,0
84,$4000_const,1
84,$4000_vol,9
84,$4002_period,225
84,$400B_length,192
85,$4000_duty,0
85,$4000_const,1
85,$4000_vol,9
85,$4002_period,225
85,$400B_length,192
86,$4000_duty,0
86,$4000_const,1
86,$4000_vol,11
86,$4002_period,225
86,$400B_length,192
87,$4000_duty,0
87,$4000_const,1
87,$4000_vol,11
87,$4002_period,225
87,$400B_length,192
88,$4000_duty,0
88,$4000_const,1
88,$4000_vol,11
88,$4002_period,225
88,$400B_length,192
89,$4000_duty,0
89,$4000_const,1
89,$4000_vol,13
89,$4002_period,225
89,$400B_length,192
90,$4000_duty,0
90,$4000_const,1
90,$4000_vol,13
90,$4002_period,225
90,$400B_length,192
91,$4000_duty,0
91,$4000_const,1
91,$4000_vol,13
91,$4002_period,225
91,$400B_length,192
92,$4000_duty,0
92,$4000_const,1
92,$4000_vol,13
92,$4002_period,225
92,$400B_length,192
93,$4000_duty,0
93,$4000_const,1
93,$4000_vol,13
93,$4002_period,225
93,$400B_length,192
94,$4000_duty,0
94,$4000_const,1
94,$4000_vol,13
94,$4002_period,227
94,$400B_length,192
95,$4000_duty,0
95,$4000_const,1
95,$4000_vol,13
95,$4002_period,227
95,$400B_length,192
96,$4000_duty,0
96,$4000_const,1
96,$4000_vol,13
96,$4002_period,227
96,$400B_length,192
97,$4000_duty,0
97,$4000_const,1
97,$4000_vol,13
97,$4002_period,227
97,$400B_length,192
98,$4000_duty,0
98,$4000_const,1
98,$4000_vol,13
98,$4002_period,227
98,$400B_length,192
99,$4000_duty,0
99,$4000_const,1
99,$4000_vol,12
99,$4002_period,227
99,$400B_length,192
100,$4000_duty,0
100,$4000_const,1
100,$4000_vol,12
100,$4002_period,229
100,$400B_length,192
101,$4000_duty,0
101,$4000_const,1
101,$4000_vol,11
101,$4002_period,229
101,$400B_length,192
102,$4000_duty,0
102,$4000_const,1
102,$4000_vol,11
102,$4002_period,231
102,$400B_length,192
103,$4000_duty,0
103,$4000_const,1
103,$4000_vol,10
103,$4002_period,231
103,$400B_length,192
104,$4000_duty,0
104,$4000_const,1
104,$4000_vol,10
104,$4002_period,233
104,$400B_length,192
105,$4000_duty,0
105,$4000_const,1
105,$4000_vol,9
105,$4002_period,233
105,$400B_length,192
106,$4000_duty,0
106,$4000_const,1
106,$4000_vol,8
106,$4002_period,235
106,$400B_length,192
107,$4000_duty,0
107,$4000_const,1
107,$4000_vol,7
107,$4002_period,235
107,$400B_length,192
108,$4000_duty,0
108,$4000_const,1
108,$4000_vol,6
108,$4002_period,237
108,$400B_length,192
109,$4000_duty,0
109,$4000_const,1
109,$4000_vol,5
109,$4002_period,237
109,$400B_length,192
110,$4000_duty,0
110,$4000_const,1
110,$4000_vol,5
110,$4002_period,239
110,$400B_length,192
111,$4000_duty,0
111,$4000_const,1
111,$4000_vol,3
111,$4002_period,239
111,$400B_length,192
112,$4000_duty,0
112,$4000_const,1
112,$4000_vol,0
112,$4001_sweep,136
112,$4002_period,1
112,$400B_length,0
