frame,parameter,value
0,$4008_linear,127
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,0
0,$4001_sweep,8
0,$4002_period,1211
0,$400B_length,250
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,8
1,$4008_linear,127
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,8
2,$4008_linear,127
2,$4005_sweep,8
2,$4006_period,401
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,4
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,7
3,$4008_linear,127
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,4
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,7
4,$4008_linear,127
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,3
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,7
5,$4008_linear,127
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,3
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,6
6,$4008_linear,127
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,3
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,6
7,$4008_linear,127
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,2
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,5
8,$400C_const,1
8,$400C_vol,5
8,$400E_period,8
8,$400E_mode,0
8,$4008_linear,127
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,2
8,$4001_sweep,8
8,$4002_period,1211
8,$400B_length,250
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,8
9,$400C_const,1
9,$400C_vol,4
9,$400E_period,8
9,$400E_mode,0
9,$4008_linear,127
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,1
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,8
10,$400C_const,1
10,$400C_vol,3
10,$400E_period,8
10,$400E_mode,0
10,$4008_linear,127
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,1
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,7
11,$400C_const,1
11,$400C_vol,2
11,$400E_period,8
11,$400E_mode,0
11,$4008_linear,127
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,1
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,7
12,$400C_const,1
12,$400C_vol,1
12,$400E_period,8
12,$400E_mode,0
12,$4008_linear,127
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,7
13,$400C_const,1
13,$400C_vol,0
13,$400E_period,8
13,$400E_mode,0
13,$4008_linear,127
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,0
13,$4000_duty,1
13,$4000_const,1
