frame,parameter,value
188,$4001_sweep,8
188,$4005_sweep,8
189,$4002_period,1
189,$400B_length,0
189,$4000_duty,3
189,$4000_const,1
189,$4000_vol,5
189,$4006_period,513
189,$4004_duty,3
189,$4004_const,1
189,$4004_vol,5
190,$4000_duty,3
190,$4000_const,1
190,$4000_vol,4
190,$4004_duty,3
190,$4004_const,1
190,$4004_vol,4
190,$400E_period,10
190,$400E_mode,0
190,$400C_const,1
190,$400C_vol,4
191,$4002_period,403
191,$400B_length,0
191,$4006_period,505
192,$400E_period,2
192,$400E_mode,0
193,$4002_period,201
193,$400B_length,0
193,$4006_period,1021
195,$400E_period,8
195,$400E_mode,0
195,$400C_const,1
195,$400C_vol,3
196,$4002_period,403
196,$400B_length,0
196,$4006_period,505
197,$400E_period,13
197,$400E_mode,0
198,$4002_period,201
198,$400B_length,0
198,$4006_period,1021
199,$400E_period,1
199,$400E_mode,0
201,$4002_period,403
201,$400B_length,0
201,$4006_period,505
204,$4002_period,201
204,$400B_length,0
204,$4006_period,1021
204,$400C_const,1
204,$400C_vol,2
207,$4002_period,403
207,$400B_length,0
207,$4006_period,505
209,$4002_period,201
209,$400B_length,0
209,$4006_period,1021
211,$4002_period,403
211,$400B_length,0
211,$4006_period,505
214,$4002_period,201
214,$400B_length,0
214,$4006_period,1021
216,$4002_period,403
216,$400B_length,0
216,$4006_period,505
219,$400C_const,1
219,$400C_vol,2
220,$4002_period,201
220,$400B_length,0
220,$4006_period,1021
222,$4002_period,403
222,$400B_length,0
222,$4006_period,505
225,$4002_period,201
225,$400B_length,0
225,$4006_period,1021
227,$4002_period,403
227,$400B_length,0
227,$4000_duty,3
227,$4000_const,1
227,$4000_vol,5
227,$4006_period,505
228,$4000_duty,3
228,$4000_const,1
228,$4000_vol,4
228,$400A_period,513
228,$400B_length,9
228,$4008_linear,40
228,$400C_const,1
228,$400C_vol,0
229,$4002_period,453
229,$400B_length,0
229,$4006_period,1021
232,$4002_period,227
232,$400B_length,0
232,$4006_period,505
234,$4002_period,453
234,$400B_length,0
235,$4006_period,1021
237,$4002_period,227
237,$400B_length,0
238,$4006_period,505
239,$4002_period,453
239,$400B_length,0
240,$4006_period,1021
243,$4002_period,227
243,$400B_length,0
243,$4006_period,505
245,$4002_period,453
245,$400B_length,0
245,$4006_period,1021
247,$4002_period,227
247,$400B_length,0
247,$4006_period,505
249,$400C_const,1
249,$400C_vol,1
250,$4002_period,453
250,$400B_length,0
251,$4006_period,1021
252,$4002_period,227
252,$400B_length,0
253,$4006_period,505
254,$4002_period,453
254,$400B_length,0
256,$4002_period,227
256,$400B_length,0
256,$4000_duty,3
256,$4000_const,1
256,$4000_vol,5
256,$4006_period,1021
257,$4000_duty,3
257,$4000_const,1
257,$4000_vol,4
258,$4002_period,403
258,$400B_length,0
258,$4006_period,505
260,$4002_period,201
260,$400B_length,0
260,$4006_period,1021
263,$4002_period,403
263,$400B_length,0
263,$4006_period,505
265,$4002_period,713
265,$400B_length,1
265,$4000_duty,3
265,$4000_const,1
265,$4000_vol,5
266,$4000_duty,3
266,$4000_const,1
266,$4000_vol,4
266,$4006_period,1021
266,$400A_period,1017
266,$400B_length,9
266,$4008_linear,40
268,$4002_period,167
268,$400B_length,0
268,$4004_duty,3
268,$4004_const,1
268,$4004_vol,3
269,$4006_period,505
270,$4002_period,851
270,$400B_length,1
271,$4006_period,1021
272,$4002_period,167
272,$400B_length,0
274,$4006_period,505
275,$4002_period,851
275,$400B_length,1
276,$4006_period,1021
277,$4002_period,167
277,$400B_length,0
277,$400C_const,1
277,$400C_vol,0
278,$4006_period,505
281,$4002_period,851
281,$400B_length,1
282,$4006_period,1021
283,$4002_period,167
283,$400B_length,0
284,$4006_period,505
286,$4002_period,851
286,$400B_length,1
287,$4006_period,1021
288,$4002_period,167
288,$400B_length,0
289,$4006_period,505
290,$4002_period,851
290,$400B_length,1
292,$4006_period,1021
293,$4002_period,167
293,$400B_length,0
294,$4006_period,505
296,$4002_period,851
