frame,parameter,value
1,$400E_period,5
1,$400E_mode,0
5,$4002_period,255
5,$400B_length,64
5,$4006_period,539
9,$400E_period,5
9,$400E_mode,0
15,$4006_period,509
17,$400E_period,5
17,$400E_mode,0
25,$4002_period,191
25,$400B_length,64
25,$4006_period,453
25,$400A_period,341
25,$400B_length,64
25,$400E_period,10
25,$400E_mode,0
45,$4002_period,215
45,$400B_length,64
65,$4002_period,227
65,$400B_length,64
65,$4006_period,679
65,$400A_period,341
65,$400B_length,64
65,$400E_period,5
65,$400E_mode,0
69,$400E_period,5
69,$400E_mode,0
73,$400E_period,5
73,$400E_mode,0
77,$400E_period,5
77,$400E_mode,0
81,$400E_period,5
81,$400E_mode,0
85,$4002_period,255
85,$400B_length,64
85,$400E_period,5
85,$400E_mode,0
89,$400E_period,5
89,$400E_mode,0
93,$400E_period,5
93,$400E_mode,0
97,$400E_period,5
97,$400E_mode,0
101,$400E_period,5
101,$400E_mode,0
105,$4002_period,287
105,$400B_length,64
105,$4006_period,429
105,$400A_period,429
105,$400B_length,64
105,$400E_period,10
105,$400E_mode,0
145,$400A_period,429
145,$400B_length,64
145,$400E_period,5
145,$400E_mode,0
153,$400E_period,5
153,$400E_mode,0
161,$400E_period,5
161,$400E_mode,0
165,$4002_period,303
165,$400B_length,64
165,$4006_period,453
165,$400A_period,303
165,$400B_length,64
169,$400E_period,5
169,$400E_mode,0
175,$4002_period,287
175,$400B_length,64
175,$4006_period,429
175,$400A_period,341
175,$400B_length,64
177,$400E_period,5
177,$400E_mode,0
185,$4002_period,255
185,$400B_length,64
185,$4006_period,381
185,$400A_period,303
185,$400B_length,64
185,$400E_period,10
185,$400E_mode,0
225,$400A_period,381
225,$400B_length,64
225,$400E_period,5
225,$400E_mode,0
229,$400E_period,5
229,$400E_mode,0
233,$400E_period,5
233,$400E_mode,0
237,$400E_period,5
237,$400E_mode,0
241,$400E_period,5
241,$400E_mode,0
245,$4002_period,341
245,$400B_length,64
245,$4006_period,341
245,$400E_period,5
245,$400E_mode,0
249,$400E_period,5
249,$400E_mode,0
253,$400E_period,5
253,$400E_mode,0
257,$400E_period,5
257,$400E_mode,0
261,$400E_period,5
261,$400E_mode,0
265,$4002_period,287
265,$400B_length,64
265,$4006_period,321
265,$400A_period,429
265,$400B_length,64
265,$400E_period,10
265,$400E_mode,0
285,$4002_period,321
285,$400B_length,64
305,$4002_period,429
305,$400B_length,64
305,$4006_period,255
305,$400A_period,429
305,$400B_length,64
305,$400E_period,5
305,$400E_mode,0
313,$400E_period,5
313,$400E_mode,0
321,$400E_period,5
321,$400E_mode,0
325,$4002_period,509
325,$400B_length,64
329,$400E_period,5
329,$400E_mode,0
337,$400E_period,5
337,$400E_mode,0
345,$4002_period,287
345,$400B_length,64
345,$4006_period,287
345,$400A_period,321
345,$400B_length,64
345,$400E_period,10
345,$400E_mode,0
365,$4002_period,321
365,$400B_length,64
365,$4006_period,321
385,$4002_period,429
385,$400B_length,64
385,$4006_period,429
385,$400A_period,321
385,$400B_length,64
385,$400E_period,5
385,$400E_mode,0
389,$400E_period,5
389,$400E_mode,0
393,$400E_period,5
393,$400E_mode,0
397,$400E_period,5
397,$400E_mode,0
401,$400E_period,5
401,$400E_mode,0
405,$4002_period,381
405,$400B_length,64
405,$4006_period,509
405,$400E_period,5
405,$400E_mode,0
409,$400E_period,5
409,$400E_mode,0
413,$400E_period,5
413,$400E_mode,0
417,$400E_period,5
417,$400E_mode,0
421,$400E_period,5
421,$400E_mode,0
425,$4002_period,341
425,$400B_length,64
425,$4006_period,453
425,$400A_period,341
425,$400B_length,64
425,$400E_period,10
425,$400E_mode,0
465,$4002_period,271
465,$400B_length,64
465,$400A_period,453
465,$400B_length,64
465,$400E_period,5
465,$400E_mode,0
473,$400E_period,5
473,$400E_mode,0
481,$400E_period,5
481,$400E_mode,0
489,$400E_period,5
489,$400E_mode,0
497,$400E_period,5
497,$400E_mode,0
505,$4002_period,255
505,$400B_length,64
505,$4006_period,679
505,$400A_period,453
505,$400B_length,64
505,$400E_period,10
505,$400E_mode,0
525,$400A_period,341
525,$400B_length,64
545,$4002_period,227
545,$400B_length,64
545,$400A_period,271
545,$400B_length,64
545,$400E_period,5
545,$400E_mode,0
549,$400E_period,5
549,$400E_mode,0
553,$400E_period,5
553,$400E_mode,0
557,$400E_period,5
557,$400E_mode,0
561,$400E_period,5
561,$400E_mode,0
565,$400A_period,227
565,$400B_length,64
565,$400E_period,5
565,$400E_mode,0
569,$400E_period,5
569,$400E_mode,0
573,$400E_period,5
573,$400E_mode,0
577,$400E_period,5
577,$400E_mode,0
581,$400E_period,5
581,$400E_mode,0
585,$4002_period,341
585,$400B_length,64
585,$4006_period,509
585,$400A_period,1
585,$400B_length,64
585,$400E_period,10
585,$400E_mode,0
