frame,parameter,value
122,$4000_duty,2
122,$4000_const,1
122,$4000_vol,13
122,$4001_sweep,0
122,$4002_period,571
122,$400B_length,1
122,$4004_duty,0
122,$4004_const,1
122,$4004_vol,0
122,$4005_sweep,0
122,$4008_linear,0
122,$400A_period,1
122,$400B_length,0
122,$400C_const,1
122,$400C_vol,0
122,$400E_period,0
122,$400E_mode,0
123,$4000_duty,2
123,$4000_const,1
123,$4000_vol,13
123,$4001_sweep,0
123,$4004_duty,0
123,$4004_const,1
123,$4004_vol,0
123,$4005_sweep,0
123,$4008_linear,0
123,$400C_const,1
123,$400C_vol,0
123,$400E_period,0
123,$400E_mode,0
124,$4000_duty,2
124,$4000_const,1
124,$4000_vol,13
124,$4001_sweep,0
124,$4004_duty,0
124,$4004_const,1
124,$4004_vol,0
124,$4005_sweep,0
124,$4008_linear,0
124,$400C_const,1
124,$400C_vol,0
124,$400E_period,0
124,$400E_mode,0
125,$4000_duty,2
125,$4000_const,1
125,$4000_vol,13
125,$4001_sweep,0
125,$4004_duty,0
125,$4004_const,1
125,$4004_vol,0
125,$4005_sweep,0
125,$4008_linear,0
125,$400C_const,1
125,$400C_vol,0
125,$400E_period,0
125,$400E_mode,0
126,$4000_duty,2
126,$4000_const,1
126,$4000_vol,13
126,$4001_sweep,0
126,$4002_period,509
126,$400B_length,0
126,$4004_duty,0
126,$4004_const,1
126,$4004_vol,0
126,$4005_sweep,0
126,$4008_linear,0
126,$400C_const,1
126,$400C_vol,0
126,$400E_period,0
126,$400E_mode,0
127,$4000_duty,2
127,$4000_const,1
127,$4000_vol,13
127,$4001_sweep,0
127,$4004_duty,0
127,$4004_const,1
127,$4004_vol,0
127,$4005_sweep,0
127,$4008_linear,0
127,$400C_const,1
127,$400C_vol,0
127,$400E_period,0
127,$400E_mode,0
128,$4000_duty,2
128,$4000_const,1
128,$4000_vol,13
128,$4001_sweep,0
128,$4004_duty,0
128,$4004_const,1
128,$4004_vol,0
128,$4005_sweep,0
128,$4008_linear,0
128,$400C_const,1
128,$400C_vol,0
128,$400E_period,0
128,$400E_mode,0
129,$4000_duty,2
129,$4000_const,1
129,$4000_vol,13
129,$4001_sweep,0
129,$4004_duty,0
129,$4004_const,1
129,$4004_vol,0
129,$4005_sweep,0
129,$4008_linear,0
129,$400C_const,1
129,$400C_vol,0
129,$400E_period,0
129,$400E_mode,0
130,$4000_duty,2
130,$4000_const,1
130,$4000_vol,13
130,$4001_sweep,0
130,$4002_period,453
130,$400B_length,0
130,$4004_duty,0
130,$4004_const,1
130,$4004_vol,0
130,$4005_sweep,0
130,$4008_linear,0
130,$400C_const,1
130,$400C_vol,0
130,$400E_period,0
130,$400E_mode,0
131,$4000_duty,2
131,$4000_const,1
131,$4000_vol,13
131,$4001_sweep,0
131,$4004_duty,0
131,$4004_const,1
131,$4004_vol,0
131,$4005_sweep,0
131,$4008_linear,0
131,$400C_const,1
131,$400C_vol,0
131,$400E_period,0
131,$400E_mode,0
132,$4000_duty,2
132,$4000_const,1
132,$4000_vol,13
132,$4001_sweep,0
132,$4004_duty,0
132,$4004_const,1
132,$4004_vol,0
132,$4005_sweep,0
132,$4008_linear,0
132,$400C_const,1
132,$400C_vol,0
132,$400E_period,0
132,$400E_mode,0
133,$4000_duty,2
133,$4000_const,1
133,$4000_vol,13
133,$4001_sweep,0
133,$4004_duty,0
133,$4004_const,1
133,$4004_vol,0
133,$4005_sweep,0
133,$4008_linear,0
133,$400C_const,1
133,$400C_vol,0
133,$400E_period,0
133,$400E_mode,0
134,$4000_duty,2
134,$4000_const,1
134,$4000_vol,13
134,$4001_sweep,0
134,$4004_duty,0
134,$4004_const,1
134,$4004_vol,0
134,$4005_sweep,0
134,$4008_linear,0
134,$400C_const,1
134,$400C_vol,0
134,$400E_period,0
134,$400E_mode,0
135,$4000_duty,2
135,$4000_const,1
135,$4000_vol,13
135,$4001_sweep,0
135,$4004_duty,0
135,$4004_const,1
135,$4004_vol,0
135,$4005_sweep,0
135,$4008_linear,0
135,$400C_const,1
135,$400C_vol,0
135,$400E_period,0
135,$400E_mode,0
136,$4000_duty,2
136,$4000_const,1
136,$4000_vol,12
136,$4001_sweep,0
136,$4004_duty,0
136,$4004_const,1
136,$4004_vol,0
136,$4005_sweep,0
136,$4008_linear,0
136,$400C_const,1
136,$400C_vol,0
136,$400E_period,0
136,$400E_mode,0
137,$4000_duty,2
137,$4000_const,1
137,$4000_vol,12
137,$4001_sweep,0
137,$4004_duty,0
137,$4004_const,1
137,$4004_vol,0
137,$4005_sweep,0
137,$4008_linear,0
137,$400C_const,1
137,$400C_vol,0
137,$400E_period,0
137,$400E_mode,0
138,$4000_duty,2
138,$4000_const,1
138,$4000_vol,13
138,$4001_sweep,0
138,$4002_period,429
138,$400B_length,0
138,$4004_duty,0
138,$4004_const,1
138,$4004_vol,0
138,$4005_sweep,0
138,$4008_linear,15
138,$400A_period,857
138,$400B_length,1
138,$400C_const,1
138,$400C_vol,0
138,$400E_period,0
138,$400E_mode,0
139,$4000_duty,2
139,$4000_const,1
139,$4000_vol,13
139,$4001_sweep,0
139,$4004_duty,0
139,$4004_const,1
139,$4004_vol,0
139,$4005_sweep,0
139,$4008_linear,15
139,$400C_const,1
139,$400C_vol,0
139,$400E_period,0
139,$400E_mode,0
140,$4000_duty,2
140,$4000_const,1
140,$4000_vol,13
140,$4001_sweep,0
140,$4004_duty,0
140,$4004_const,1
140,$4004_vol,0
140,$4005_sweep,0
140,$4008_linear,15
140,$400C_const,1
140,$400C_vol,0
140,$400E_period,0
140,$400E_mode,0
141,$4000_duty,2
141,$4000_const,1
141,$4000_vol,13
141,$4001_sweep,0
141,$4004_duty,0
141,$4004_const,1
141,$4004_vol,0
141,$4005_sweep,0
141,$4008_linear,15
141,$400C_const,1
141,$400C_vol,0
141,$400E_period,0
141,$400E_mode,0
142,$4000_duty,2
142,$4000_const,1
142,$4000_vol,13
142,$4001_sweep,0
142,$4004_duty,0
142,$4004_const,1
142,$4004_vol,0
142,$4005_sweep,0
142,$4008_linear,15
142,$400C_const,1
142,$400C_vol,0
142,$400E_period,0
142,$400E_mode,0
143,$4000_duty,2
143,$4000_const,1
143,$4000_vol,13
143,$4001_sweep,0
143,$4004_duty,0
143,$4004_const,1
143,$4004_vol,0
143,$4005_sweep,0
143,$4008_linear,15
143,$400C_const,1
143,$400C_vol,0
143,$400E_period,0
143,$400E_mode,0
144,$4000_duty,2
144,$4000_const,1
144,$4000_vol,12
144,$4001_sweep,0
144,$4004_duty,0
144,$4004_const,1
144,$4004_vol,0
144,$4005_sweep,0
144,$4008_linear,15
144,$400C_const,1
144,$400C_vol,0
144,$400E_period,0
144,$400E_mode,0
145,$4000_duty,2
145,$4000_const,1
145,$4000_vol,12
145,$4001_sweep,0
145,$4004_duty,0
145,$4004_const,1
145,$4004_vol,0
145,$4005_sweep,0
145,$4008_linear,15
145,$400C_const,1
145,$400C_vol,0
145,$400E_period,0
145,$400E_mode,0
146,$4000_duty,2
146,$4000_const,1
146,$4000_vol,12
146,$4001_sweep,0
146,$4004_duty,0
146,$4004_const,1
146,$4004_vol,0
146,$4005_sweep,0
146,$4008_linear,15
146,$400C_const,1
146,$400C_vol,0
146,$400E_period,0
146,$400E_mode,0
147,$4000_duty,2
147,$4000_const,1
147,$4000_vol,12
147,$4001_sweep,0
147,$4004_duty,0
147,$4004_const,1
147,$4004_vol,0
147,$4005_sweep,0
147,$4008_linear,15
147,$400C_const,1
147,$400C_vol,0
147,$400E_period,0
147,$400E_mode,0
148,$4000_duty,2
148,$4000_const,1
148,$4000_vol,12
148,$4001_sweep,0
148,$4004_duty,0
148,$4004_const,1
148,$4004_vol,0
148,$4005_sweep,0
148,$4008_linear,15
148,$400C_const,1
148,$400C_vol,0
148,$400E_period,0
148,$400E_mode,0
149,$4000_duty,2
149,$4000_const,1
149,$4000_vol,12
149,$4001_sweep,0
149,$4004_duty,0
149,$4004_const,1
149,$4004_vol,0
149,$4005_sweep,0
149,$4008_linear,15
149,$400C_const,1
149,$400C_vol,0
149,$400E_period,0
149,$400E_mode,0
150,$4000_duty,2
150,$4000_const,1
150,$4000_vol,11
150,$4001_sweep,0
150,$4004_duty,0
150,$4004_const,1
150,$4004_vol,0
150,$4005_sweep,0
150,$4008_linear,15
150,$400C_const,1
150,$400C_vol,0
150,$400E_period,0
150,$400E_mode,0
151,$4000_duty,2
151,$4000_const,1
151,$4000_vol,11
151,$4001_sweep,0
151,$4004_duty,0
151,$4004_const,1
151,$4004_vol,0
151,$4005_sweep,0
151,$4008_linear,15
151,$400C_const,1
151,$400C_vol,0
151,$400E_period,0
151,$400E_mode,0
152,$4000_duty,2
152,$4000_const,1
152,$4000_vol,11
152,$4001_sweep,0
152,$4004_duty,0
152,$4004_const,1
152,$4004_vol,0
152,$4005_sweep,0
152,$4008_linear,15
152,$400C_const,1
152,$400C_vol,0
152,$400E_period,0
152,$400E_mode,0
153,$4000_duty,2
153,$4000_const,1
153,$4000_vol,11
153,$4001_sweep,0
153,$4004_duty,0
153,$4004_const,1
153,$4004_vol,0
153,$4005_sweep,0
153,$4008_linear,15
153,$400C_const,1
153,$400C_vol,0
153,$400E_period,0
153,$400E_mode,0
154,$4000_duty,2
154,$4000_const,1
154,$4000_vol,13
154,$4001_sweep,0
154,$4002_period,341
154,$400B_length,0
154,$4004_duty,0
154,$4004_const,1
154,$4004_vol,0
154,$4005_sweep,0
154,$4008_linear,15
154,$400C_const,1
154,$400C_vol,0
154,$400E_period,0
154,$400E_mode,0
155,$4000_duty,2
155,$4000_const,1
155,$4000_vol,13
155,$4001_sweep,0
155,$4004_duty,0
155,$4004_const,1
155,$4004_vol,0
155,$4005_sweep,0
155,$4008_linear,15
155,$400C_const,1
155,$400C_vol,0
155,$400E_period,0
155,$400E_mode,0
156,$4000_duty,2
156,$4000_const,1
156,$4000_vol,13
156,$4001_sweep,0
156,$4004_duty,0
156,$4004_const,1
156,$4004_vol,0
156,$4005_sweep,0
156,$4008_linear,15
156,$400C_const,1
156,$400C_vol,0
156,$400E_period,0
156,$400E_mode,0
157,$4000_duty,2
157,$4000_const,1
157,$4000_vol,13
157,$4001_sweep,0
157,$4004_duty,0
157,$4004_const,1
157,$4004_vol,0
157,$4005_sweep,0
157,$4008_linear,15
157,$400C_const,1
157,$400C_vol,0
157,$400E_period,0
157,$400E_mode,0
158,$4000_duty,2
158,$4000_const,1
158,$4000_vol,13
158,$4001_sweep,0
158,$4004_duty,0
158,$4004_const,1
158,$4004_vol,0
158,$4005_sweep,0
158,$4008_linear,15
158,$400C_const,1
158,$400C_vol,0
158,$400E_period,0
158,$400E_mode,0
159,$4000_duty,2
159,$4000_const,1
159,$4000_vol,13
159,$4001_sweep,0
159,$4004_duty,0
159,$4004_const,1
159,$4004_vol,0
159,$4005_sweep,0
159,$4008_linear,15
159,$400C_const,1
159,$400C_vol,0
159,$400E_period,0
159,$400E_mode,0
160,$4000_duty,2
160,$4000_const,1
160,$4000_vol,12
160,$4001_sweep,0
160,$4004_duty,0
160,$4004_const,1
160,$4004_vol,0
160,$4005_sweep,0
160,$4008_linear,15
160,$400C_const,1
160,$400C_vol,0
160,$400E_period,0
160,$400E_mode,0
161,$4000_duty,2
161,$4000_const,1
161,$4000_vol,12
161,$4001_sweep,0
161,$4004_duty,0
161,$4004_const,1
161,$4004_vol,0
161,$4005_sweep,0
161,$4008_linear,15
161,$400C_const,1
161,$400C_vol,0
161,$400E_period,0
161,$400E_mode,0
162,$4000_duty,2
162,$4000_const,1
162,$4000_vol,12
162,$4001_sweep,0
162,$4004_duty,0
162,$4004_const,1
162,$4004_vol,0
162,$4005_sweep,0
162,$4008_linear,15
162,$400C_const,1
162,$400C_vol,0
162,$400E_period,0
162,$400E_mode,0
163,$4000_duty,2
163,$4000_const,1
163,$4000_vol,12
163,$4001_sweep,0
163,$4004_duty,0
163,$4004_const,1
163,$4004_vol,0
163,$4005_sweep,0
163,$4008_linear,15
163,$400C_const,1
163,$400C_vol,0
163,$400E_period,0
163,$400E_mode,0
164,$4000_duty,2
164,$4000_const,1
164,$4000_vol,12
164,$4001_sweep,0
164,$4004_duty,0
164,$4004_const,1
164,$4004_vol,0
164,$4005_sweep,0
164,$4008_linear,15
164,$400C_const,1
164,$400C_vol,0
164,$400E_period,0
164,$400E_mode,0
165,$4000_duty,2
165,$4000_const,1
165,$4000_vol,12
165,$4001_sweep,0
165,$4004_duty,0
165,$4004_const,1
165,$4004_vol,0
165,$4005_sweep,0
165,$4008_linear,15
165,$400C_const,1
165,$400C_vol,0
165,$400E_period,0
165,$400E_mode,0
166,$4000_duty,2
166,$4000_const,1
166,$4000_vol,11
166,$4001_sweep,0
166,$4004_duty,0
166,$4004_const,1
166,$4004_vol,0
166,$4005_sweep,0
166,$4008_linear,15
166,$400C_const,1
166,$400C_vol,0
166,$400E_period,0
166,$400E_mode,0
167,$4000_duty,2
167,$4000_const,1
167,$4000_vol,11
167,$4001_sweep,0
167,$4004_duty,0
167,$4004_const,1
167,$4004_vol,0
167,$4005_sweep,0
167,$4008_linear,15
167,$400C_const,1
167,$400C_vol,0
167,$400E_period,0
167,$400E_mode,0
168,$4000_duty,2
168,$4000_const,1
168,$4000_vol,11
168,$4001_sweep,0
168,$4004_duty,0
168,$4004_const,1
168,$4004_vol,0
168,$4005_sweep,0
168,$4008_linear,15
168,$400C_const,1
168,$400C_vol,0
168,$400E_period,0
168,$400E_mode,0
169,$4000_duty,2
169,$4000_const,1
169,$4000_vol,11
169,$4001_sweep,0
169,$4004_duty,0
169,$4004_const,1
169,$4004_vol,0
169,$4005_sweep,0
169,$4008_linear,15
169,$400C_const,1
169,$400C_vol,0
169,$400E_period,0
169,$400E_mode,0
170,$4000_duty,2
170,$4000_const,1
170,$4000_vol,13
170,$4001_sweep,0
170,$4002_period,381
170,$400B_length,0
170,$4004_duty,0
170,$4004_const,1
170,$4004_vol,0
170,$4005_sweep,0
170,$4008_linear,15
170,$400A_period,1133
170,$400B_length,2
170,$400C_const,1
170,$400C_vol,0
170,$400E_period,0
170,$400E_mode,0
171,$4000_duty,2
171,$4000_const,1
171,$4000_vol,13
171,$4001_sweep,0
171,$4004_duty,0
171,$4004_const,1
171,$4004_vol,0
171,$4005_sweep,0
171,$4008_linear,15
171,$400C_const,1
171,$400C_vol,0
171,$400E_period,0
171,$400E_mode,0
172,$4000_duty,2
172,$4000_const,1
172,$4000_vol,13
172,$4001_sweep,0
172,$4004_duty,0
172,$4004_const,1
172,$4004_vol,0
172,$4005_sweep,0
172,$4008_linear,15
172,$400C_const,1
172,$400C_vol,0
172,$400E_period,0
172,$400E_mode,0
173,$4000_duty,2
173,$4000_const,1
173,$4000_vol,13
173,$4001_sweep,0
173,$4004_duty,0
173,$4004_const,1
173,$4004_vol,0
173,$4005_sweep,0
173,$4008_linear,15
173,$400C_const,1
173,$400C_vol,0
173,$400E_period,0
173,$400E_mode,0
174,$4000_duty,2
174,$4000_const,1
174,$4000_vol,13
174,$4001_sweep,0
174,$4004_duty,0
174,$4004_const,1
174,$4004_vol,0
174,$4005_sweep,0
174,$4008_linear,15
174,$400C_const,1
174,$400C_vol,0
174,$400E_period,0
174,$400E_mode,0
175,$4000_duty,2
175,$4000_const,1
175,$4000_vol,13
175,$4001_sweep,0
175,$4004_duty,0
175,$4004_const,1
175,$4004_vol,0
175,$4005_sweep,0
175,$4008_linear,15
175,$400C_const,1
175,$400C_vol,0
175,$400E_period,0
175,$400E_mode,0
176,$4000_duty,2
176,$4000_const,1
176,$4000_vol,12
176,$4001_sweep,0
176,$4004_duty,0
176,$4004_const,1
176,$4004_vol,0
176,$4005_sweep,0
176,$4008_linear,15
176,$400C_const,1
176,$400C_vol,0
176,$400E_period,0
176,$400E_mode,0
177,$4000_duty,2
177,$4000_const,1
177,$4000_vol,12
177,$4001_sweep,0
177,$4004_duty,0
177,$4004_const,1
177,$4004_vol,0
177,$4005_sweep,0
177,$4008_linear,15
177,$400C_const,1
177,$400C_vol,0
177,$400E_period,0
177,$400E_mode,0
178,$4000_duty,2
178,$4000_const,1
178,$4000_vol,12
178,$4001_sweep,0
178,$4004_duty,0
178,$4004_const,1
178,$4004_vol,0
178,$4005_sweep,0
178,$4008_linear,15
178,$400C_const,1
178,$400C_vol,0
178,$400E_period,0
178,$400E_mode,0
179,$4000_duty,2
179,$4000_const,1
179,$4000_vol,12
179,$4001_sweep,0
179,$4004_duty,0
179,$4004_const,1
179,$4004_vol,0
179,$4005_sweep,0
179,$4008_linear,15
179,$400C_const,1
179,$400C_vol,0
179,$400E_period,0
179,$400E_mode,0
180,$4000_duty,2
180,$4000_const,1
180,$4000_vol,12
180,$4001_sweep,0
180,$4004_duty,0
180,$4004_const,1
180,$4004_vol,0
180,$4005_sweep,0
180,$4008_linear,15
180,$400C_const,1
180,$400C_vol,0
180,$400E_period,0
180,$400E_mode,0
181,$4000_duty,2
181,$4000_const,1
181,$4000_vol,12
181,$4001_sweep,0
181,$4004_duty,0
181,$4004_const,1
181,$4004_vol,0
181,$4005_sweep,0
181,$4008_linear,15
181,$400C_const,1
181,$400C_vol,0
181,$400E_period,0
181,$400E_mode,0
182,$4000_duty,2
182,$4000_const,1
182,$4000_vol,11
182,$4001_sweep,0
182,$4004_duty,0
182,$4004_const,1
182,$4004_vol,0
182,$4005_sweep,0
182,$4008_linear,15
182,$400C_const,1
182,$400C_vol,0
182,$400E_period,0
182,$400E_mode,0
183,$4000_duty,2
183,$4000_const,1
183,$4000_vol,11
183,$4001_sweep,0
183,$4004_duty,0
183,$4004_const,1
183,$4004_vol,0
183,$4005_sweep,0
183,$4008_linear,15
183,$400C_const,1
183,$400C_vol,0
183,$400E_period,0
183,$400E_mode,0
184,$4000_duty,2
184,$4000_const,1
184,$4000_vol,11
184,$4001_sweep,0
184,$4004_duty,0
184,$4004_const,1
184,$4004_vol,0
184,$4005_sweep,0
184,$4008_linear,15
184,$400C_const,1
184,$400C_vol,0
184,$400E_period,0
184,$400E_mode,0
185,$4000_duty,2
185,$4000_const,1
185,$4000_vol,11
185,$4001_sweep,0
185,$4004_duty,0
185,$4004_const,1
185,$4004_vol,0
185,$4005_sweep,0
185,$4008_linear,15
185,$400C_const,1
185,$400C_vol,0
185,$400E_period,0
185,$400E_mode,0
186,$4000_duty,2
186,$4000_const,1
186,$4000_vol,13
186,$4001_sweep,0
186,$4002_period,321
186,$400B_length,0
186,$4004_duty,0
186,$4004_const,1
186,$4004_vol,0
186,$4005_sweep,0
186,$4008_linear,15
186,$400C_const,1
186,$400C_vol,0
186,$400E_period,0
186,$400E_mode,0
187,$4000_duty,2
187,$4000_const,1
187,$4000_vol,13
187,$4001_sweep,0
187,$4004_duty,0
187,$4004_const,1
187,$4004_vol,0
187,$4005_sweep,0
187,$4008_linear,15
187,$400C_const,1
187,$400C_vol,0
187,$400E_period,0
187,$400E_mode,0
188,$4000_duty,2
188,$4000_const,1
188,$4000_vol,13
188,$4001_sweep,0
188,$4004_duty,0
188,$4004_const,1
