frame,parameter,value
303,$4004_duty,0
303,$4004_const,0
303,$4004_vol,0
303,$400C_const,1
303,$400C_vol,0
304,$4000_duty,3
304,$4000_const,1
304,$4000_vol,10
304,$4001_sweep,7
304,$4002_period,339
304,$400B_length,0
304,$4008_linear,127
304,$400A_period,169
304,$400B_length,0
305,$4000_duty,3
305,$4000_const,1
305,$4000_vol,5
305,$4008_linear,127
306,$4000_duty,3
306,$4000_const,1
306,$4000_vol,5
306,$4008_linear,127
307,$4000_duty,3
307,$4000_const,1
307,$4000_vol,10
307,$4001_sweep,7
307,$4002_period,301
307,$400B_length,0
307,$4008_linear,127
307,$400A_period,149
307,$400B_length,0
308,$4000_duty,3
308,$4000_const,1
308,$4000_vol,10
308,$4008_linear,127
309,$4000_duty,3
309,$4000_const,1
309,$4000_vol,5
309,$4008_linear,127
310,$4000_duty,3
310,$4000_const,1
310,$4000_vol,5
310,$4008_linear,127
311,$4000_duty,3
311,$4000_const,1
311,$4000_vol,10
311,$4001_sweep,7
311,$4002_period,239
311,$400B_length,0
311,$4008_linear,127
311,$400A_period,119
311,$400B_length,0
312,$4000_duty,3
312,$4000_const,1
312,$4000_vol,10
312,$4008_linear,127
313,$4000_duty,3
313,$4000_const,1
313,$4000_vol,5
313,$4008_linear,127
314,$4000_duty,3
314,$4000_const,1
314,$4000_vol,5
314,$4008_linear,127
315,$4000_duty,3
315,$4000_const,1
315,$4000_vol,10
315,$4001_sweep,7
315,$4002_period,179
315,$400B_length,0
315,$4008_linear,127
315,$400A_period,89
315,$400B_length,0
316,$4000_duty,3
316,$4000_const,1
316,$4000_vol,10
316,$4008_linear,127
317,$4000_duty,3
317,$4000_const,1
317,$4000_vol,5
317,$4008_linear,127
318,$4000_duty,3
318,$4000_const,1
318,$4000_vol,5
318,$4008_linear,127
319,$4000_duty,3
319,$4000_const,1
319,$4000_vol,10
319,$4001_sweep,7
319,$4002_period,169
319,$400B_length,0
319,$4008_linear,127
319,$400A_period,83
319,$400B_length,0
320,$4000_duty,3
320,$4000_const,1
320,$4000_vol,10
320,$4008_linear,127
321,$4000_duty,3
321,$4000_const,1
321,$4000_vol,5
321,$4008_linear,127
322,$4000_duty,3
322,$4000_const,1
322,$4000_vol,5
322,$4008_linear,127
323,$4000_duty,3
323,$4000_const,1
323,$4000_vol,10
323,$4001_sweep,7
323,$4002_period,169
323,$400B_length,0
323,$4008_linear,127
323,$400A_period,83
323,$400B_length,0
324,$4000_duty,3
324,$4000_const,1
324,$4000_vol,10
324,$4008_linear,127
325,$4000_duty,3
325,$4000_const,1
325,$4000_vol,5
325,$4008_linear,127
326,$4000_duty,3
326,$4000_const,1
326,$4000_vol,5
326,$4008_linear,127
327,$4000_duty,3
327,$4000_const,1
327,$4000_vol,4
327,$4008_linear,127
328,$4000_duty,3
328,$4000_const,1
328,$4000_vol,4
328,$4008_linear,127
329,$4000_duty,3
329,$4000_const,1
329,$4000_vol,3
329,$4008_linear,127
330,$4000_duty,3
330,$4000_const,1
330,$4000_vol,3
330,$4008_linear,127
331,$4000_duty,3
331,$4000_const,1
331,$4000_vol,2
331,$4008_linear,127
