frame,parameter,value
548,$4000_duty,0
548,$4000_const,0
548,$4000_vol,0
548,$4001_sweep,0
548,$4002_period,1
548,$400B_length,0
548,$4004_duty,0
548,$4004_const,0
548,$4004_vol,0
548,$4005_sweep,0
548,$4006_period,1
548,$4008_linear,0
548,$400A_period,1
548,$400B_length,0
548,$400C_const,0
548,$400C_vol,0
548,$400E_period,0
548,$400E_mode,0
549,$4000_duty,1
549,$4000_const,1
549,$4000_vol,12
549,$4001_sweep,0
549,$4002_period,679
549,$400B_length,9
549,$4004_duty,1
549,$4004_const,1
549,$4004_vol,12
549,$4005_sweep,0
549,$4006_period,905
549,$4008_linear,24
549,$400C_const,1
549,$400C_vol,15
549,$400E_period,10
549,$400E_mode,0
550,$4000_duty,1
550,$4000_const,1
550,$4000_vol,11
550,$4004_duty,1
550,$4004_const,1
550,$4004_vol,11
550,$400C_const,1
550,$400C_vol,8
551,$4000_duty,1
551,$4000_const,1
551,$4000_vol,10
551,$4004_duty,1
551,$4004_const,1
551,$4004_vol,10
551,$400C_const,1
551,$400C_vol,4
552,$4000_duty,1
552,$4000_const,1
552,$4000_vol,9
552,$4004_duty,1
552,$4004_const,1
552,$4004_vol,9
552,$400C_const,1
552,$400C_vol,0
553,$4000_duty,1
553,$4000_const,1
553,$4000_vol,7
553,$4004_duty,1
553,$4004_const,1
553,$4004_vol,7
553,$400C_const,1
553,$400C_vol,0
554,$4000_duty,1
554,$4000_const,1
554,$4000_vol,5
554,$4004_duty,1
554,$4004_const,1
554,$4004_vol,5
554,$400C_const,1
554,$400C_vol,0
555,$4000_duty,1
555,$4000_const,1
555,$4000_vol,3
555,$4004_duty,1
555,$4004_const,1
555,$4004_vol,3
556,$4000_duty,1
556,$4000_const,1
556,$4000_vol,3
556,$4004_duty,1
556,$4004_const,1
556,$4004_vol,3
557,$4000_duty,1
557,$4000_const,1
557,$4000_vol,3
557,$4004_duty,1
557,$4004_const,1
557,$4004_vol,3
558,$4000_duty,1
558,$4000_const,1
558,$4000_vol,3
558,$4004_duty,1
558,$4004_const,1
558,$4004_vol,3
559,$4000_duty,1
559,$4000_const,1
559,$4000_vol,12
559,$4001_sweep,0
559,$4002_period,1357
559,$400B_length,10
559,$4004_duty,1
559,$4004_const,1
