frame,parameter,value
18,$400A_period,1
18,$400B_length,8
18,$4008_linear,127
38,$400A_period,269
38,$400B_length,8
38,$4008_linear,127
48,$400A_period,213
48,$400B_length,8
48,$4008_linear,127
58,$400A_period,227
58,$400B_length,8
58,$4008_linear,127
78,$400A_period,213
78,$400B_length,8
78,$4008_linear,127
97,$4002_period,1
97,$400B_length,0
97,$4000_duty,0
97,$4000_const,0
97,$4000_vol,0
97,$4006_period,1
97,$4004_duty,0
97,$4004_const,0
97,$4004_vol,0
98,$400A_period,191
98,$400B_length,8
98,$4008_linear,127
118,$400A_period,285
118,$400B_length,8
118,$4008_linear,127
128,$400A_period,213
128,$400B_length,8
128,$4008_linear,127
138,$400A_period,227
138,$400B_length,8
138,$4008_linear,127
158,$400A_period,213
158,$400B_length,8
158,$4008_linear,127
178,$400A_period,191
178,$400B_length,8
178,$4008_linear,127
188,$400A_period,321
188,$400B_length,8
188,$4008_linear,127
198,$400A_period,285
198,$400B_length,8
198,$4008_linear,127
221,$4001_sweep,8
221,$4005_sweep,8
221,$4000_duty,2
221,$4000_const,1
221,$4000_vol,15
221,$4002_period,1
221,$400B_length,0
224,$4000_duty,2
224,$4000_const,1
224,$4000_vol,13
227,$4000_duty,2
227,$4000_const,1
227,$4000_vol,11
230,$4000_duty,2
230,$4000_const,1
230,$4000_vol,9
233,$4000_duty,2
233,$4000_const,1
233,$4000_vol,13
236,$4000_duty,2
236,$4000_const,1
236,$4000_vol,12
238,$400A_period,269
238,$400B_length,8
238,$4008_linear,127
240,$4000_duty,2
240,$4000_const,1
240,$4000_vol,10
244,$4000_duty,2
244,$4000_const,1
244,$4000_vol,8
247,$4000_duty,2
247,$4000_const,1
247,$4000_vol,12
250,$400A_period,285
250,$400B_length,8
250,$4008_linear,127
250,$4000_duty,2
250,$4000_const,1
250,$4000_vol,10
253,$4000_duty,2
253,$4000_const,1
253,$4000_vol,8
256,$4000_duty,2
256,$4000_const,1
256,$4000_vol,6
259,$4006_period,1
259,$4004_duty,0
259,$4004_const,0
259,$4004_vol,0
259,$4000_duty,2
259,$4000_const,1
259,$4000_vol,10
260,$400A_period,321
260,$400B_length,8
260,$4008_linear,127
262,$4000_duty,2
262,$4000_const,1
262,$4000_vol,8
265,$4000_duty,2
265,$4000_const,1
265,$4000_vol,6
268,$4000_duty,2
268,$4000_const,1
268,$4000_vol,4
270,$400A_period,359
270,$400B_length,8
270,$4008_linear,127
271,$4000_duty,0
271,$4000_const,0
271,$4000_vol,0
271,$4000_duty,0
271,$4000_const,0
271,$4000_vol,0
279,$4002_period,1
279,$400B_length,0
279,$4000_duty,2
279,$4000_const,1
279,$4000_vol,10
280,$400A_period,213
280,$400B_length,8
280,$4008_linear,127
281,$4000_duty,2
281,$4000_const,1
281,$4000_vol,8
289,$4002_period,283
289,$400B_length,0
289,$4000_duty,2
289,$4000_const,1
289,$4000_vol,10
290,$400A_period,227
290,$400B_length,8
290,$4008_linear,127
291,$4000_duty,2
291,$4000_const,1
291,$4000_vol,8
299,$4002_period,301
299,$400B_length,0
299,$4000_duty,2
299,$4000_const,1
299,$4000_vol,10
300,$400A_period,255
300,$400B_length,8
300,$4008_linear,127
301,$4000_duty,2
301,$4000_const,1
301,$4000_vol,8
309,$4000_duty,2
309,$4000_const,1
309,$4000_vol,7
310,$400A_period,285
310,$400B_length,8
310,$4008_linear,127
318,$4000_duty,2
318,$4000_const,1
318,$4000_vol,6
319,$4002_period,283
319,$400B_length,0
319,$4000_duty,2
319,$4000_const,1
319,$4000_vol,10
320,$400A_period,321
320,$400B_length,8
320,$4008_linear,127
321,$4000_duty,2
321,$4000_const,1
321,$4000_vol,8
329,$4000_duty,2
329,$4000_const,1
329,$4000_vol,7
330,$400A_period,359
330,$400B_length,8
330,$4008_linear,127
338,$4000_duty,2
338,$4000_const,1
338,$4000_vol,6
339,$4002_period,425
339,$400B_length,0
