frame,parameter,value
0,$400C_const,1
0,$400C_vol,2
0,$4008_linear,13
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,0
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
1,$400C_const,1
1,$400C_vol,2
1,$4008_linear,13
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
2,$400C_const,1
2,$400C_vol,1
2,$4008_linear,12
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
3,$400C_const,0
3,$400C_vol,0
3,$400E_period,15
3,$400E_mode,0
3,$400C_const,1
3,$400C_vol,11
3,$4008_linear,0
3,$400A_period,479
3,$400B_length,0
3,$4008_linear,13
3,$4004_duty,0
3,$4004_const,0
3,$4004_vol,0
3,$4005_sweep,127
3,$4006_period,3047
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,13
3,$4000_duty,0
3,$4000_const,0
3,$4000_vol,0
3,$4001_sweep,127
3,$4002_period,1017
3,$400B_length,1
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,13
4,$400C_const,1
4,$400C_vol,10
4,$4008_linear,13
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,13
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,13
5,$400C_const,1
5,$400C_vol,9
5,$4008_linear,13
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,13
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,13
6,$400C_const,1
6,$400C_vol,8
6,$4008_linear,13
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,13
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,13
7,$400C_const,1
7,$400C_vol,8
7,$4008_linear,13
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,13
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,13
8,$400C_const,1
8,$400C_vol,7
8,$4008_linear,13
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,13
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,13
9,$400C_const,1
9,$400C_vol,6
9,$4008_linear,13
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,13
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,13
10,$400C_const,1
10,$400C_vol,5
10,$4008_linear,13
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,13
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,13
11,$400C_const,1
11,$400C_vol,5
11,$4008_linear,13
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,13
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,13
12,$400C_const,1
12,$400C_vol,4
12,$4008_linear,13
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,12
12,$4001_sweep,132
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,12
13,$400C_const,1
13,$400C_vol,3
13,$4008_linear,13
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,11
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,10
14,$400C_const,1
14,$400C_vol,2
14,$4008_linear,13
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,10
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,9
15,$400C_const,1
15,$400C_vol,2
15,$4008_linear,13
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,8
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,7
16,$400C_const,1
16,$400C_vol,1
16,$4008_linear,12
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,7
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,6
17,$400C_const,1
17,$400C_vol,0
17,$4008_linear,0
17,$400A_period,427
