frame,parameter,value
21,$400A_period,857
21,$400B_length,9
35,$4006_period,215
49,$4006_period,227
49,$400A_period,1143
49,$400B_length,10
70,$4006_period,215
77,$4006_period,255
77,$400A_period,1283
77,$400B_length,10
105,$400A_period,857
105,$400B_length,9
133,$400A_period,641
133,$400B_length,9
161,$4006_period,255
161,$400A_period,857
161,$400B_length,9
182,$4006_period,227
189,$4006_period,215
189,$400A_period,1283
189,$400B_length,10
217,$400A_period,857
217,$400B_length,9
245,$400A_period,641
245,$400B_length,9
259,$4006_period,215
273,$4006_period,191
273,$400A_period,1283
273,$400B_length,10
294,$4006_period,215
301,$4006_period,171
301,$400A_period,857
301,$400B_length,9
329,$4006_period,215
329,$400A_period,1143
329,$400B_length,10
357,$4006_period,287
357,$400A_period,857
357,$400B_length,9
385,$4006_period,341
385,$400A_period,1143
385,$400B_length,10
406,$4006_period,321
413,$4006_period,287
413,$400A_period,857
413,$400B_length,9
427,$4006_period,215
441,$400A_period,1143
441,$400B_length,10
469,$400A_period,857
469,$400B_length,9
483,$4006_period,215
497,$4006_period,227
497,$400A_period,1143
497,$400B_length,10
518,$4006_period,215
525,$4006_period,255
525,$400A_period,1283
525,$400B_length,10
553,$400A_period,857
553,$400B_length,9
581,$400A_period,641
581,$400B_length,9
