frame,parameter,value
537,$4000_duty,0
537,$4000_const,0
537,$4000_vol,0
537,$4004_duty,0
537,$4004_const,0
537,$4004_vol,0
537,$4008_linear,0
537,$400C_const,0
537,$400C_vol,0
537,$400E_period,0
537,$400E_mode,0
538,$4000_duty,0
538,$4000_const,0
538,$4000_vol,0
538,$4004_duty,0
538,$4004_const,0
538,$4004_vol,0
538,$4008_linear,0
538,$400C_const,0
538,$400C_vol,0
538,$400E_period,0
538,$400E_mode,0
539,$4001_sweep,67
539,$4000_duty,2
539,$4000_const,1
539,$4000_vol,5
539,$4002_period,1
539,$400B_length,152
539,$4005_sweep,67
539,$4004_duty,2
539,$4004_const,1
539,$4004_vol,2
539,$4006_period,1
539,$4008_linear,31
539,$400A_period,1017
539,$400B_length,105
539,$400C_const,1
539,$400C_vol,4
539,$400E_period,14
539,$400E_mode,0
540,$4000_duty,2
540,$4000_const,1
540,$4000_vol,4
540,$4004_duty,2
540,$4004_const,1
540,$4004_vol,2
540,$4008_linear,31
540,$400C_const,1
540,$400C_vol,4
540,$400E_period,14
540,$400E_mode,0
542,$4000_duty,2
542,$4000_const,1
542,$4000_vol,3
542,$4004_duty,2
542,$4004_const,1
542,$4004_vol,2
542,$4008_linear,31
542,$400C_const,1
542,$400C_vol,4
542,$400E_period,14
542,$400E_mode,0
544,$4000_duty,2
544,$4000_const,1
544,$4000_vol,2
544,$4004_duty,2
544,$4004_const,1
544,$4004_vol,1
544,$4008_linear,31
544,$400C_const,1
544,$400C_vol,4
544,$400E_period,14
544,$400E_mode,0
546,$4000_duty,2
546,$4000_const,1
546,$4000_vol,1
546,$4004_duty,2
546,$4004_const,1
546,$4004_vol,1
546,$4008_linear,31
546,$400C_const,1
546,$400C_vol,4
546,$400E_period,14
546,$400E_mode,0
548,$4000_duty,2
548,$4000_const,1
548,$4000_vol,0
548,$4004_duty,2
548,$4004_const,1
548,$4004_vol,1
548,$4008_linear,31
548,$400C_const,1
548,$400C_vol,4
548,$400E_period,14
548,$400E_mode,0
550,$4000_duty,2
550,$4000_const,1
550,$4000_vol,0
550,$4004_duty,2
550,$4004_const,1
550,$4004_vol,0
550,$4008_linear,31
550,$400C_const,1
550,$400C_vol,4
550,$400E_period,14
550,$400E_mode,0
552,$4000_duty,2
552,$4000_const,1
552,$4000_vol,0
552,$4004_duty,2
552,$4004_const,1
552,$4004_vol,0
552,$4008_linear,31
552,$400C_const,1
552,$400C_vol,4
552,$400E_period,14
552,$400E_mode,0
554,$4000_duty,2
554,$4000_const,1
554,$4000_vol,0
554,$4004_duty,2
554,$4004_const,1
554,$4004_vol,0
554,$4008_linear,31
554,$400C_const,1
554,$400C_vol,4
554,$400E_period,14
554,$400E_mode,0
555,$4008_linear,31
555,$400A_period,1017
555,$400B_length,105
555,$400C_const,1
555,$400C_vol,4
555,$400E_period,14
555,$400E_mode,0
556,$4000_duty,2
556,$4000_const,1
556,$4000_vol,0
556,$4004_duty,2
556,$4004_const,1
556,$4004_vol,0
556,$4008_linear,31
556,$400C_const,1
556,$400C_vol,3
556,$400E_period,14
556,$400E_mode,0
558,$4000_duty,2
558,$4000_const,1
558,$4000_vol,0
558,$4004_duty,2
558,$4004_const,1
558,$4004_vol,0
558,$4008_linear,31
558,$400C_const,1
558,$400C_vol,2
558,$400E_period,14
558,$400E_mode,0
559,$4000_duty,2
559,$4000_const,1
559,$4000_vol,0
559,$4004_duty,2
559,$4004_const,1
559,$4004_vol,0
559,$4008_linear,31
559,$400C_const,1
559,$400C_vol,1
559,$400E_period,14
559,$400E_mode,0
561,$4000_duty,2
561,$4000_const,1
561,$4000_vol,0
561,$4004_duty,2
561,$4004_const,1
561,$4004_vol,0
561,$4008_linear,31
561,$400C_const,1
561,$400C_vol,0
561,$400E_period,14
561,$400E_mode,0
563,$4000_duty,2
563,$4000_const,1
563,$4000_vol,0
563,$4004_duty,2
563,$4004_const,1
563,$4004_vol,0
563,$4008_linear,31
563,$400C_const,1
563,$400C_vol,0
563,$400E_period,14
563,$400E_mode,0
564,$400C_const,1
564,$400C_vol,9
564,$400E_period,1
564,$400E_mode,0
565,$4000_duty,2
565,$4000_const,1
565,$4000_vol,0
565,$4004_duty,2
565,$4004_const,1
565,$4004_vol,0
565,$4008_linear,31
565,$400C_const,1
565,$400C_vol,8
565,$400E_period,1
565,$400E_mode,0
567,$4000_duty,2
567,$4000_const,1
