frame,parameter,value
356,$4000_duty,0
356,$4000_const,1
356,$4000_vol,0
356,$4004_duty,0
356,$4004_const,1
356,$4004_vol,0
356,$4008_linear,0
356,$400C_const,1
356,$400C_vol,0
356,$4001_sweep,8
356,$4005_sweep,8
356,$400C_const,1
356,$400C_vol,0
357,$4000_duty,2
357,$4000_const,1
357,$4000_vol,0
357,$4002_period,381
357,$400B_length,8
357,$4004_duty,1
357,$4004_const,1
357,$4004_vol,0
357,$4006_period,453
357,$4008_linear,0
357,$400A_period,571
357,$400B_length,9
358,$4000_duty,2
358,$4000_const,1
358,$4000_vol,0
358,$4004_duty,1
358,$4004_const,1
358,$4004_vol,0
358,$4008_linear,0
359,$4000_duty,2
359,$4000_const,1
359,$4000_vol,0
359,$4004_duty,1
359,$4004_const,1
359,$4004_vol,0
359,$4008_linear,0
360,$4000_duty,2
360,$4000_const,1
360,$4000_vol,0
360,$4004_duty,1
360,$4004_const,1
360,$4004_vol,0
360,$4008_linear,0
361,$4000_duty,2
361,$4000_const,1
361,$4000_vol,1
361,$4004_duty,1
361,$4004_const,1
361,$4004_vol,1
361,$4008_linear,0
362,$4000_duty,2
362,$4000_const,1
362,$4000_vol,1
362,$4004_duty,1
362,$4004_const,1
362,$4004_vol,1
362,$4008_linear,127
363,$4000_duty,2
363,$4000_const,1
363,$4000_vol,1
363,$4004_duty,1
363,$4004_const,1
363,$4004_vol,1
363,$4008_linear,127
364,$4000_duty,2
364,$4000_const,1
364,$4000_vol,1
364,$4004_duty,1
364,$4004_const,1
364,$4004_vol,1
364,$4008_linear,127
365,$4000_duty,2
365,$4000_const,1
365,$4000_vol,2
365,$4004_duty,1
365,$4004_const,1
365,$4004_vol,2
365,$4008_linear,127
366,$4000_duty,2
366,$4000_const,1
366,$4000_vol,2
366,$4004_duty,1
366,$4004_const,1
366,$4004_vol,2
366,$4008_linear,127
367,$4000_duty,2
367,$4000_const,1
367,$4000_vol,2
367,$4004_duty,1
367,$4004_const,1
367,$4004_vol,2
367,$4008_linear,0
368,$4000_duty,2
368,$4000_const,1
368,$4000_vol,2
