frame,parameter,value
1,$4010_rate,15
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,5
1,$4006_period,571
1,$4008_linear,127
1,$400A_period,255
1,$400B_length,32
1,$400E_period,4
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,9
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,3
2,$400C_const,1
2,$400C_vol,6
3,$400C_const,1
3,$400C_vol,4
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,2
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,0
5,$400C_const,1
5,$400C_vol,0
17,$4010_rate,14
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,11
17,$4006_period,2065
17,$400E_period,3
17,$400E_mode,0
17,$400C_const,1
17,$400C_vol,10
18,$400C_const,1
18,$400C_vol,7
19,$400C_const,1
19,$400C_vol,10
23,$400C_const,1
23,$400C_vol,6
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,6
25,$4010_rate,15
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,4
25,$4002_period,539
25,$400B_length,49
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,11
25,$4006_period,3071
25,$400E_period,4
25,$400E_mode,0
25,$400C_const,1
25,$400C_vol,15
26,$4000_duty,3
26,$4000_const,1
26,$4000_vol,2
26,$400C_const,1
26,$400C_vol,12
27,$4000_duty,3
27,$4000_const,1
27,$4000_vol,4
27,$400C_const,1
27,$400C_vol,15
32,$4000_duty,3
32,$4000_const,1
32,$4000_vol,9
32,$4004_duty,3
32,$4004_const,1
32,$4004_vol,6
32,$400C_const,1
32,$400C_vol,6
34,$4000_duty,3
34,$4000_const,1
34,$4000_vol,6
41,$4010_rate,14
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,4
41,$4002_period,481
41,$400B_length,32
41,$4004_duty,3
41,$4004_const,1
41,$4004_vol,15
41,$4006_period,807
41,$4008_linear,127
41,$400A_period,359
41,$400B_length,48
41,$400E_period,3
41,$400E_mode,0
41,$400C_const,1
41,$400C_vol,10
42,$4000_duty,3
42,$4000_const,1
42,$4000_vol,2
42,$400C_const,1
42,$400C_vol,7
43,$4000_duty,3
43,$4000_const,1
43,$4000_vol,4
43,$400C_const,1
43,$400C_vol,10
47,$400C_const,1
47,$400C_vol,6
48,$4000_duty,3
48,$4000_const,1
48,$4000_vol,9
48,$4004_duty,3
48,$4004_const,1
48,$4004_vol,6
49,$4010_rate,15
49,$4000_duty,1
49,$4000_const,1
49,$4000_vol,4
49,$4002_period,539
49,$400B_length,49
49,$4004_duty,3
49,$4004_const,1
49,$4004_vol,7
49,$4006_period,3071
49,$400E_period,4
49,$400E_mode,0
49,$400C_const,1
49,$400C_vol,15
50,$4000_duty,3
50,$4000_const,1
50,$4000_vol,2
50,$400C_const,1
50,$400C_vol,12
51,$4000_duty,3
51,$4000_const,1
51,$4000_vol,4
51,$400C_const,1
51,$400C_vol,15
56,$4000_duty,3
56,$4000_const,1
56,$4000_vol,9
56,$4004_duty,3
56,$4004_const,1
56,$4004_vol,6
56,$400C_const,1
56,$400C_vol,6
58,$4000_duty,3
58,$4000_const,1
58,$4000_vol,6
65,$4010_rate,14
65,$4000_duty,1
65,$4000_const,1
65,$4000_vol,4
65,$4002_period,605
65,$400B_length,33
65,$4004_duty,3
65,$4004_const,1
65,$4004_vol,11
65,$4006_period,807
65,$400A_period,359
65,$400B_length,32
65,$400E_period,3
65,$400E_mode,0
65,$400C_const,1
65,$400C_vol,10
66,$4000_duty,3
66,$4000_const,1
66,$4000_vol,2
66,$400C_const,1
66,$400C_vol,7
67,$4000_duty,3
67,$4000_const,1
67,$4000_vol,4
67,$400C_const,1
67,$400C_vol,10
71,$400C_const,1
71,$400C_vol,6
72,$4000_duty,3
72,$4000_const,1
72,$4000_vol,9
72,$4004_duty,3
72,$4004_const,1
72,$4004_vol,6
73,$4010_rate,15
73,$4000_duty,1
73,$4000_const,1
73,$4000_vol,4
73,$4002_period,539
73,$400B_length,49
73,$4004_duty,3
73,$4004_const,1
73,$4004_vol,13
73,$4006_period,3071
73,$400E_period,4
73,$400E_mode,0
73,$400C_const,1
73,$400C_vol,15
74,$4000_duty,3
74,$4000_const,1
74,$4000_vol,2
74,$400C_const,1
74,$400C_vol,12
75,$4000_duty,3
75,$4000_const,1
75,$4000_vol,4
75,$400C_const,1
75,$400C_vol,15
80,$4000_duty,3
80,$4000_const,1
80,$4000_vol,9
80,$4004_duty,3
80,$4004_const,1
80,$4004_vol,6
80,$400C_const,1
80,$400C_vol,6
81,$4010_rate,15
81,$400C_const,1
81,$400C_vol,6
82,$4000_duty,3
82,$4000_const,1
82,$4000_vol,6
89,$4010_rate,14
89,$4000_duty,1
89,$4000_const,1
89,$4000_vol,4
89,$4002_period,539
89,$400B_length,33
89,$4004_duty,3
89,$4004_const,1
89,$4004_vol,1
89,$4006_period,807
89,$400A_period,321
89,$400B_length,48
89,$400E_period,3
89,$400E_mode,0
89,$400C_const,1
89,$400C_vol,10
90,$4000_duty,3
90,$4000_const,1
90,$4000_vol,2
90,$400C_const,1
90,$400C_vol,7
91,$4000_duty,3
91,$4000_const,1
91,$4000_vol,4
91,$400C_const,1
91,$400C_vol,10
95,$400C_const,1
95,$400C_vol,6
96,$4000_duty,3
96,$4000_const,1
96,$4000_vol,9
96,$4004_duty,3
96,$4004_const,1
96,$4004_vol,6
97,$4010_rate,15
97,$4000_duty,1
97,$4000_const,1
97,$4000_vol,4
97,$4002_period,1807
97,$400B_length,123
97,$4004_duty,3
97,$4004_const,1
97,$4004_vol,1
97,$4006_period,719
97,$400A_period,303
97,$400B_length,32
97,$400E_period,4
97,$400E_mode,0
97,$400C_const,1
97,$400C_vol,15
98,$4000_duty,3
98,$4000_const,1
98,$4000_vol,2
98,$400C_const,1
98,$400C_vol,12
99,$4000_duty,3
99,$4000_const,1
99,$4000_vol,4
99,$400C_const,1
99,$400C_vol,15
104,$4000_duty,3
104,$4000_const,1
104,$4000_vol,9
104,$4004_duty,3
104,$4004_const,1
104,$4004_vol,6
104,$400C_const,1
104,$400C_vol,6
106,$4000_duty,3
106,$4000_const,1
106,$4000_vol,6
