frame,parameter,value
187,$4010_rate,15
187,$4012_addr,35
187,$4013_len,28
187,$4004_duty,2
187,$4004_const,1
187,$4004_vol,6
187,$4005_sweep,8
187,$4006_period,571
187,$4008_linear,31
187,$400A_period,381
187,$400B_length,0
188,$4004_duty,2
188,$4004_const,1
188,$4004_vol,10
189,$4004_duty,2
189,$4004_const,1
189,$4004_vol,12
195,$4004_duty,2
195,$4004_const,1
195,$4004_vol,6
197,$4000_duty,2
197,$4000_const,1
197,$4000_vol,4
197,$4001_sweep,8
197,$4002_period,573
197,$400B_length,1
197,$4004_duty,2
197,$4004_const,1
197,$4004_vol,5
198,$4000_duty,2
198,$4000_const,1
198,$4000_vol,8
198,$4004_duty,2
198,$4004_const,1
198,$4004_vol,1
199,$4000_duty,2
199,$4000_const,1
199,$4000_vol,10
199,$4004_duty,2
199,$4004_const,1
199,$4004_vol,3
205,$4000_duty,2
205,$4000_const,1
205,$4000_vol,4
207,$4000_duty,2
207,$4000_const,1
207,$4000_vol,3
207,$4004_duty,2
207,$4004_const,1
207,$4004_vol,6
207,$4005_sweep,8
207,$4006_period,453
208,$4004_duty,2
208,$4004_const,1
208,$4004_vol,10
209,$4000_duty,2
209,$4000_const,1
209,$4000_vol,1
209,$4001_sweep,8
209,$4002_period,573
209,$400B_length,1
209,$4004_duty,2
209,$4004_const,1
209,$4004_vol,12
215,$4004_duty,2
215,$4004_const,1
215,$4004_vol,6
217,$4000_duty,2
217,$4000_const,1
217,$4000_vol,4
217,$4001_sweep,8
217,$4002_period,455
217,$400B_length,0
217,$4004_duty,2
217,$4004_const,1
217,$4004_vol,5
218,$4000_duty,2
218,$4000_const,1
218,$4000_vol,8
218,$4004_duty,2
218,$4004_const,1
218,$4004_vol,1
219,$4000_duty,2
219,$4000_const,1
219,$4000_vol,10
219,$4004_duty,2
219,$4004_const,1
219,$4004_vol,3
225,$4000_duty,2
225,$4000_const,1
225,$4000_vol,4
227,$4000_duty,2
227,$4000_const,1
227,$4000_vol,3
227,$4004_duty,2
227,$4004_const,1
227,$4004_vol,7
227,$4005_sweep,8
227,$4006_period,381
228,$4004_duty,2
228,$4004_const,1
228,$4004_vol,11
229,$4000_duty,2
229,$4000_const,1
229,$4000_vol,1
229,$4001_sweep,8
229,$4002_period,455
229,$400B_length,0
229,$4004_duty,2
229,$4004_const,1
229,$4004_vol,13
235,$4004_duty,2
235,$4004_const,1
235,$4004_vol,7
237,$4000_duty,2
237,$4000_const,1
237,$4000_vol,5
237,$4001_sweep,8
237,$4002_period,383
237,$400B_length,0
237,$4004_duty,2
237,$4004_const,1
237,$4004_vol,6
238,$4000_duty,2
238,$4000_const,1
238,$4000_vol,9
238,$4004_duty,2
238,$4004_const,1
238,$4004_vol,2
239,$4000_duty,2
239,$4000_const,1
239,$4000_vol,11
239,$4004_duty,2
239,$4004_const,1
239,$4004_vol,4
242,$4004_duty,2
242,$4004_const,1
242,$4004_vol,1
245,$4000_duty,2
245,$4000_const,1
245,$4000_vol,5
247,$4010_rate,15
247,$4012_addr,35
247,$4013_len,28
247,$4000_duty,2
247,$4000_const,1
247,$4000_vol,4
247,$4004_duty,2
247,$4004_const,1
247,$4004_vol,7
247,$4005_sweep,8
247,$4006_period,453
248,$4004_duty,2
248,$4004_const,1
248,$4004_vol,11
249,$4000_duty,2
249,$4000_const,1
249,$4000_vol,2
249,$4001_sweep,8
249,$4002_period,383
249,$400B_length,0
249,$4004_duty,2
249,$4004_const,1
249,$4004_vol,13
255,$4004_duty,2
255,$4004_const,1
255,$4004_vol,7
257,$4000_duty,2
257,$4000_const,1
257,$4000_vol,5
257,$4001_sweep,8
257,$4002_period,455
257,$400B_length,0
257,$4004_duty,2
257,$4004_const,1
257,$4004_vol,6
258,$4000_duty,2
258,$4000_const,1
258,$4000_vol,9
258,$4004_duty,2
258,$4004_const,1
258,$4004_vol,2
259,$4000_duty,2
259,$4000_const,1
259,$4000_vol,11
259,$4004_duty,2
259,$4004_const,1
259,$4004_vol,4
262,$4004_duty,2
262,$4004_const,1
262,$4004_vol,1
265,$4000_duty,2
265,$4000_const,1
265,$4000_vol,5
267,$4010_rate,15
267,$4012_addr,84
267,$4013_len,28
267,$4000_duty,2
267,$4000_const,1
267,$4000_vol,4
267,$4004_duty,2
267,$4004_const,1
267,$4004_vol,5
267,$4005_sweep,8
267,$4006_period,427
267,$4008_linear,31
267,$400A_period,509
267,$400B_length,0
268,$4004_duty,2
268,$4004_const,1
268,$4004_vol,9
269,$4000_duty,2
269,$4000_const,1
269,$4000_vol,2
269,$4001_sweep,8
269,$4002_period,455
269,$400B_length,0
269,$4004_duty,2
269,$4004_const,1
269,$4004_vol,11
275,$4004_duty,2
275,$4004_const,1
275,$4004_vol,5
277,$4000_duty,2
277,$4000_const,1
277,$4000_vol,3
277,$4001_sweep,8
277,$4002_period,429
277,$400B_length,0
277,$4004_duty,2
277,$4004_const,1
277,$4004_vol,4
278,$4000_duty,2
278,$4000_const,1
278,$4000_vol,7
279,$4000_duty,2
279,$4000_const,1
279,$4000_vol,9
279,$4004_duty,2
279,$4004_const,1
279,$4004_vol,2
279,$4005_sweep,8
279,$4006_period,427
285,$4000_duty,2
285,$4000_const,1
285,$4000_vol,3
287,$4000_duty,2
287,$4000_const,1
287,$4000_vol,2
287,$4004_duty,2
287,$4004_const,1
287,$4004_vol,5
287,$4005_sweep,8
287,$4006_period,509
288,$4004_duty,2
288,$4004_const,1
288,$4004_vol,9
289,$4004_duty,2
289,$4004_const,1
289,$4004_vol,11
295,$4004_duty,2
295,$4004_const,1
295,$4004_vol,5
297,$4000_duty,2
297,$4000_const,1
297,$4000_vol,3
297,$4001_sweep,8
297,$4002_period,511
297,$400B_length,0
297,$4004_duty,2
297,$4004_const,1
297,$4004_vol,4
298,$4000_duty,2
298,$4000_const,1
298,$4000_vol,7
299,$4000_duty,2
299,$4000_const,1
299,$4000_vol,9
299,$4004_duty,2
299,$4004_const,1
299,$4004_vol,2
299,$4005_sweep,8
299,$4006_period,509
305,$4000_duty,2
305,$4000_const,1
305,$4000_vol,3
307,$4000_duty,2
307,$4000_const,1
307,$4000_vol,2
307,$4004_duty,2
307,$4004_const,1
307,$4004_vol,6
307,$4005_sweep,8
307,$4006_period,605
308,$4004_duty,2
308,$4004_const,1
308,$4004_vol,10
309,$4004_duty,2
309,$4004_const,1
309,$4004_vol,12
315,$4004_duty,2
315,$4004_const,1
315,$4004_vol,6
317,$4000_duty,2
317,$4000_const,1
