frame,parameter,value
2,$4002_period,1
2,$400B_length,0
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,5
2,$4006_period,513
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,3
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,2
3,$400E_period,8
3,$400E_mode,0
3,$400C_const,1
3,$400C_vol,2
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,4
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,1
4,$400C_const,1
4,$400C_vol,0
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,0
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,3
9,$4006_period,93
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,3
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,2
10,$400A_period,513
10,$400B_length,9
10,$4008_linear,15
10,$400E_period,8
10,$400E_mode,0
10,$400C_const,1
10,$400C_vol,2
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,1
12,$400C_const,1
12,$400C_vol,0
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,0
16,$4002_period,453
16,$400B_length,0
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,5
16,$4006_period,965
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,3
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,2
18,$400E_period,8
18,$400E_mode,0
18,$400C_const,1
18,$400C_vol,2
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,4
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,1
19,$400C_const,1
19,$400C_vol,0
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,0
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,3
24,$4002_period,991
24,$400B_length,1
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,5
24,$4006_period,93
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,3
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,2
25,$400E_period,7
25,$400E_mode,1
25,$400C_const,1
25,$400C_vol,4
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,4
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,1
26,$400E_period,12
26,$400E_mode,1
26,$400C_const,1
26,$400C_vol,1
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,0
27,$400E_period,14
27,$400E_mode,1
27,$400C_const,1
27,$400C_vol,2
28,$400E_period,0
28,$400E_mode,1
28,$400C_const,1
28,$400C_vol,1
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,3
30,$400E_period,10
30,$400E_mode,1
30,$400C_const,1
30,$400C_vol,0
31,$400E_period,12
31,$400E_mode,1
32,$400A_period,905
32,$400B_length,9
32,$4008_linear,15
32,$400E_period,8
32,$400E_mode,0
32,$400C_const,1
32,$400C_vol,2
33,$400C_const,1
33,$400C_vol,0
38,$4002_period,539
38,$400B_length,1
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,5
38,$4006_period,453
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,3
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,2
39,$400E_period,8
39,$400E_mode,0
39,$400C_const,1
39,$400C_vol,2
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,4
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,1
40,$400C_const,1
40,$400C_vol,0
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,0
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,3
46,$400E_period,8
46,$400E_mode,0
46,$400C_const,1
46,$400C_vol,2
48,$400C_const,1
48,$400C_vol,0
52,$4002_period,605
52,$400B_length,1
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,5
52,$4006_period,479
52,$4004_duty,0
52,$4004_const,0
52,$4004_vol,0
54,$400A_period,1471
54,$400B_length,10
54,$4008_linear,15
54,$400E_period,8
54,$400E_mode,0
54,$400C_const,1
54,$400C_vol,2
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,4
55,$400C_const,1
55,$400C_vol,0
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,3
60,$4006_period,513
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,3
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,2
61,$400E_period,8
61,$400E_mode,0
61,$400C_const,1
61,$400C_vol,2
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,1
62,$400C_const,1
62,$400C_vol,0
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,0
67,$4002_period,27
67,$400B_length,0
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,5
67,$4006_period,27
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,3
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,2
68,$400E_period,8
68,$400E_mode,0
68,$400C_const,1
68,$400C_vol,2
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,4
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,1
69,$400C_const,1
69,$400C_vol,0
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,0
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,3
74,$4006_period,965
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,3
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,2
75,$400A_period,1077
75,$400B_length,10
75,$4008_linear,15
75,$400E_period,8
75,$400E_mode,0
75,$400C_const,1
75,$400C_vol,2
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,1
76,$400C_const,1
76,$400C_vol,0
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,0
81,$4002_period,479
81,$400B_length,0
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,5
81,$4006_period,27
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,3
82,$4004_duty,2
82,$4004_const,1
82,$4004_vol,2
82,$400A_period,565
82,$400B_length,9
82,$4008_linear,15
82,$400E_period,7
82,$400E_mode,1
