frame,parameter,value
0,$4002_period,1
0,$400B_length,0
0,$4006_period,1
1,$4008_linear,127
1,$400A_period,513
1,$400B_length,9
1,$400E_period,13
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,7
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,0
6,$400E_period,8
6,$400E_mode,0
7,$4002_period,427
7,$400B_length,0
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,9
7,$4006_period,427
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,9
7,$4008_linear,127
7,$400A_period,1325
7,$400B_length,10
7,$400E_period,1
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,6
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,8
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,8
10,$400C_const,1
10,$400C_vol,1
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,7
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,7
11,$400C_const,1
11,$400C_vol,0
12,$400E_period,5
12,$400E_mode,0
12,$400C_const,1
12,$400C_vol,0
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,7
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,7
13,$400C_const,1
13,$400C_vol,0
14,$4002_period,403
14,$400B_length,0
14,$4006_period,481
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,6
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,6
16,$400E_period,9
16,$400E_mode,0
17,$4002_period,405
17,$400B_length,0
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,6
17,$4006_period,481
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,6
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,5
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,5
19,$4008_linear,0
19,$400E_period,13
19,$400E_mode,0
19,$400C_const,1
19,$400C_vol,7
20,$4002_period,403
20,$400B_length,0
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,4
20,$4006_period,479
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,4
21,$4000_duty,2
21,$4000_const,1
