frame,parameter,value
247,$400C_const,1
247,$400C_vol,0
247,$4008_linear,0
247,$4004_duty,1
247,$4004_const,1
247,$4004_vol,10
247,$4000_duty,1
247,$4000_const,1
247,$4000_vol,10
248,$4000_duty,0
248,$4000_const,1
248,$4000_vol,0
248,$4001_sweep,0
248,$4000_duty,0
248,$4000_const,1
248,$4000_vol,0
248,$4001_sweep,0
248,$4002_period,341
248,$400B_length,0
248,$4004_duty,0
248,$4004_const,1
248,$4004_vol,0
248,$4005_sweep,0
248,$4004_duty,0
248,$4004_const,1
248,$4004_vol,0
248,$4005_sweep,0
248,$4006_period,509
248,$4008_linear,0
249,$4004_duty,0
249,$4004_const,1
249,$4004_vol,14
249,$4000_duty,0
249,$4000_const,1
249,$4000_vol,14
250,$4004_duty,0
250,$4004_const,1
250,$4004_vol,13
250,$4000_duty,0
250,$4000_const,1
250,$4000_vol,13
251,$4004_duty,0
251,$4004_const,1
251,$4004_vol,12
251,$4000_duty,0
251,$4000_const,1
251,$4000_vol,12
252,$4004_duty,0
252,$4004_const,1
252,$4004_vol,11
252,$4000_duty,0
252,$4000_const,1
252,$4000_vol,11
253,$4004_duty,0
253,$4004_const,1
253,$4004_vol,10
253,$4000_duty,0
253,$4000_const,1
253,$4000_vol,10
254,$4004_duty,0
254,$4004_const,1
254,$4004_vol,10
254,$4000_duty,0
254,$4000_const,1
254,$4000_vol,10
255,$4004_duty,0
255,$4004_const,1
255,$4004_vol,10
255,$4000_duty,0
255,$4000_const,1
255,$4000_vol,10
256,$4004_duty,0
256,$4004_const,1
256,$4004_vol,10
256,$4000_duty,0
256,$4000_const,1
256,$4000_vol,10
257,$4004_duty,0
257,$4004_const,1
257,$4004_vol,10
257,$4000_duty,0
257,$4000_const,1
257,$4000_vol,10
258,$4004_duty,0
258,$4004_const,1
258,$4004_vol,10
258,$4000_duty,0
258,$4000_const,1
258,$4000_vol,10
259,$4004_duty,0
259,$4004_const,1
259,$4004_vol,10
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,10
260,$4004_duty,0
260,$4004_const,1
260,$4004_vol,10
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,10
261,$4004_duty,0
261,$4004_const,1
261,$4004_vol,10
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,10
262,$4004_duty,0
262,$4004_const,1
262,$4004_vol,10
262,$4000_duty,0
262,$4000_const,1
262,$4000_vol,10
263,$4004_duty,0
263,$4004_const,1
263,$4004_vol,10
263,$4000_duty,0
263,$4000_const,1
263,$4000_vol,10
264,$4004_duty,0
264,$4004_const,1
264,$4004_vol,10
264,$4000_duty,0
264,$4000_const,1
264,$4000_vol,10
265,$4004_duty,0
265,$4004_const,1
265,$4004_vol,10
265,$4000_duty,0
265,$4000_const,1
265,$4000_vol,10
266,$4004_duty,0
266,$4004_const,1
266,$4004_vol,10
266,$4000_duty,0
266,$4000_const,1
266,$4000_vol,10
267,$4004_duty,0
267,$4004_const,1
267,$4004_vol,10
267,$4000_duty,0
267,$4000_const,1
267,$4000_vol,10
268,$4004_duty,0
268,$4004_const,1
268,$4004_vol,10
268,$4000_duty,0
268,$4000_const,1
268,$4000_vol,10
269,$4004_duty,0
269,$4004_const,1
269,$4004_vol,10
269,$4000_duty,0
269,$4000_const,1
269,$4000_vol,10
270,$4004_duty,0
