frame,parameter,value
0,$4008_linear,127
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,0
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,4
1,$4008_linear,0
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,5
2,$400A_period,337
2,$400B_length,248
2,$4008_linear,127
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,4
3,$4008_linear,127
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,5
4,$4012_addr,34
4,$4010_rate,15
4,$4013_len,52
4,$4011_dac,64
4,$4008_linear,127
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,4
5,$4008_linear,127
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,5
6,$4008_linear,127
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,0
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,4
7,$4008_linear,0
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
8,$4012_addr,18
8,$4010_rate,15
8,$4013_len,24
8,$4011_dac,64
8,$400A_period,189
8,$400B_length,248
8,$4008_linear,127
8,$4005_sweep,8
8,$4006_period,1343
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,8
8,$4001_sweep,8
8,$4002_period,423
8,$400B_length,248
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,7
9,$4008_linear,127
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,8
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,6
10,$4008_linear,127
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,8
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,5
11,$4008_linear,127
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,7
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,4
12,$4008_linear,127
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,7
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,4
13,$4008_linear,0
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,6
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,4
14,$400A_period,189
14,$400B_length,248
14,$4008_linear,127
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,6
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,4
15,$4008_linear,127
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,5
15,$4000_duty,0
