frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4001_sweep,8
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
1,$4001_sweep,8
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4001_sweep,8
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,8
3,$4001_sweep,8
3,$4002_period,253
3,$400B_length,8
3,$4004_duty,3
3,$4004_const,0
3,$4004_vol,4
3,$4005_sweep,8
3,$4006_period,301
3,$4008_linear,127
3,$400A_period,761
3,$400B_length,9
12,$4004_duty,3
12,$4004_const,0
12,$4004_vol,4
12,$4005_sweep,8
12,$4006_period,379
21,$4004_duty,3
21,$4004_const,0
21,$4004_vol,4
21,$4005_sweep,8
21,$4006_period,507
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
25,$4001_sweep,8
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,0
26,$4001_sweep,8
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,0
27,$4001_sweep,8
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
28,$4001_sweep,8
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,0
29,$4001_sweep,8
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,8
30,$4001_sweep,8
30,$4002_period,253
30,$400B_length,8
30,$4004_duty,3
30,$4004_const,0
30,$4004_vol,4
30,$4005_sweep,8
30,$4006_period,451
43,$4004_duty,3
43,$4004_const,0
43,$4004_vol,4
43,$4005_sweep,8
43,$4006_period,507
52,$4000_duty,0
52,$4000_const,1
52,$4000_vol,0
52,$4001_sweep,8
52,$4008_linear,0
53,$4000_duty,0
53,$4000_const,1
53,$4000_vol,0
53,$4001_sweep,8
53,$4008_linear,0
54,$4000_duty,0
54,$4000_const,1
54,$4000_vol,0
54,$4001_sweep,8
54,$4008_linear,0
55,$4000_duty,0
55,$4000_const,1
55,$4000_vol,0
55,$4001_sweep,8
55,$4008_linear,0
56,$4000_duty,0
56,$4000_const,1
56,$4000_vol,8
56,$4001_sweep,8
56,$4002_period,285
56,$400B_length,8
56,$4004_duty,3
56,$4004_const,0
56,$4004_vol,4
56,$4005_sweep,8
56,$4006_period,451
56,$4008_linear,127
56,$400A_period,1141
56,$400B_length,10
65,$4000_duty,0
65,$4000_const,1
65,$4000_vol,0
65,$4001_sweep,8
66,$4000_duty,0
66,$4000_const,1
66,$4000_vol,0
66,$4001_sweep,8
67,$4000_duty,0
67,$4000_const,1
67,$4000_vol,0
67,$4001_sweep,8
68,$4000_duty,0
68,$4000_const,1
68,$4000_vol,0
68,$4001_sweep,8
69,$4000_duty,0
69,$4000_const,1
69,$4000_vol,8
69,$4001_sweep,8
69,$4002_period,301
69,$400B_length,8
69,$4004_duty,3
69,$4004_const,0
69,$4004_vol,4
69,$4005_sweep,8
69,$4006_period,507
78,$4008_linear,0
79,$4008_linear,0
80,$4008_linear,0
81,$4008_linear,0
82,$4008_linear,0
83,$4004_duty,3
83,$4004_const,0
83,$4004_vol,4
83,$4005_sweep,8
83,$4006_period,451
83,$4008_linear,127
83,$400A_period,1141
83,$400B_length,10
92,$4000_duty,0
92,$4000_const,1
92,$4000_vol,0
92,$4001_sweep,8
92,$4008_linear,0
93,$4000_duty,0
93,$4000_const,1
93,$4000_vol,0
93,$4001_sweep,8
93,$4008_linear,0
94,$4000_duty,0
94,$4000_const,1
94,$4000_vol,0
94,$4001_sweep,8
94,$4008_linear,0
95,$4000_duty,0
95,$4000_const,1
95,$4000_vol,0
95,$4001_sweep,8
95,$4008_linear,0
96,$4000_duty,0
96,$4000_const,1
96,$4000_vol,8
96,$4001_sweep,8
96,$4002_period,339
96,$400B_length,8
96,$4004_duty,3
96,$4004_const,0
96,$4004_vol,4
96,$4005_sweep,8
96,$4006_period,507
96,$4008_linear,127
96,$400A_period,1015
96,$400B_length,9
109,$4004_duty,3
109,$4004_const,0
109,$4004_vol,4
109,$4005_sweep,8
109,$4006_period,301
118,$4004_duty,3
118,$4004_const,0
118,$4004_vol,4
118,$4005_sweep,8
118,$4006_period,379
127,$4004_duty,3
127,$4004_const,0
127,$4004_vol,4
127,$4005_sweep,8
127,$4006_period,507
136,$4004_duty,3
136,$4004_const,0
136,$4004_vol,4
136,$4005_sweep,8
136,$4006_period,451
149,$4004_duty,3
149,$4004_const,0
149,$4004_vol,4
149,$4005_sweep,8
149,$4006_period,507
158,$4000_duty,0
158,$4000_const,1
158,$4000_vol,0
158,$4001_sweep,8
159,$4000_duty,0
159,$4000_const,1
